"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"1","Kaivaliya navanita [17th Century AD]","

        Kaivaliya navanita, palm leaf manuscript, 97 leaves. Subject: unknown.

                  
            
              
              View images from this file (194)
            
          
              ","EAP208/1/1","194 TIFF Images","Manuscript","File","Malayalam","Malayalam","17th Century AD","Access is for research purposes only."
"2","Stuti kala [16th Century AD]","

        Stuti kala , palm leaf manuscript, 64 leaves. Subject: unknown.

                  
            
              
              View images from this file (128)
            
          
              ","EAP208/1/2","128 TIFF Images","Manuscript","File","Sanskrit","Malayalam","16th Century AD","Access is for research purposes only."
"3","Brahmotthara khandam [16th Century AD]","

        Brahmotthara khandam , palm leaf manuscript, 81 leaves. Subject: Purana.

                  
            
              
              View images from this file (162)
            
          
              ","EAP208/1/3","162 TIFF Images","Manuscript","File","Sanskrit","Malayalam","16th Century AD","Access is for research purposes only."
"4","Raga dvesha svarupa [16th Century AD]","

        Raga dvesha svarupa , palm leaf manuscript, 82 leaves. Subject: unknown.

                  
            
              
              View images from this file (163)
            
          
              ","EAP208/1/4","163 TIFF Images","Manuscript","File","Sanskrit","Malayalam","16th Century AD","Access is for research purposes only."
"5","Nala caritra [16th Century AD]","

        Nala caritra , palm leaf manuscript, 127 leaves. Subject: Kavya.

                  
            
              
              View images from this file (252)
            
          
              ","EAP208/1/5","252 TIFF Images","Manuscript","File","Malayalam","Malayalam","16th Century AD","Access is for research purposes only."
"6","Puja Mantra [16th Century AD]","

        Puja Mantra , palm leaf manuscript, 80 leaves. Subject: Vaidika Vyakarana.

                  
            
              
              View images from this file (160)
            
          
              ","EAP208/1/6","160 TIFF Images","Manuscript","File","Sanskrit","Malayalam","16th Century AD","Access is for research purposes only."
"7","Vaidyam [16th Century AD]","

        Vaidyam , palm leaf manuscript, 32 leaves. Subject: Veda.

                  
            
              
              View images from this file (63)
            
          
              ","EAP208/1/7","63 TIFF Images","Manuscript","File","Malayalam","Malayalam","16th Century AD","Access is for research purposes only."
"8","Raghuvamsa [16th Century AD]","

        Raghuvamsa , palm leaf manuscript, 95 leaves. Subject: Kavya.

                  
            
              
              View images from this file (190)
            
          
              ","EAP208/1/8","190 TIFF Images","Manuscript","File","Sanskrit","Malayalam","16th Century AD","Access is for research purposes only."
"9","Bala mantra [16th Century AD]","

        Bala mantra , palm leaf manuscript, 69 leaves. Subject: Stotra.

                  
            
              
              View images from this file (137)
            
          
              ","EAP208/1/9","137 TIFF Images","Manuscript","File","Sanskrit","Malayalam","16th Century AD","Access is for research purposes only."
"10","Mantra [16th Century AD]","

        Mantra , palm leaf manuscript, 48 leaves. Subject: Mantra.

                  
            
              
              View images from this file (95)
            
          
              ","EAP208/1/10","95 TIFF Images","Manuscript","File","Malayalam","Malayalam","16th Century AD","Access is for research purposes only."
"11","Vaidyam [16th Century AD]","

        Vaidyam , palm leaf manuscript, 133 leaves. Subject: Veda.

                  
            
              
              View images from this file (266)
            
          
              ","EAP208/1/11","266 TIFF Images","Manuscript","File","Malayalam","Malayalam","16th Century AD","Access is for research purposes only."
"12","Tantra samucchaya [16th Century AD]","

        Tantra samucchaya , palm leaf manuscript, 125 leaves. Subject: Tantra.

                  
            
              
              View images from this file (250)
            
          
              ","EAP208/1/12","250 TIFF Images","Manuscript","File","Sanskrit","Malayalam","16th Century AD","Access is for research purposes only."
"13","Sukha sandesha [16th Century AD]","

        Sukha sandesha, palm leaf manuscript, 105 leaves. Subject: Kavya.

                  
            
              
              View images from this file (209)
            
          
              ","EAP208/1/13","209 TIFF Images","Manuscript","File","Sanskrit","Malayalam","16th Century AD","Access is for research purposes only."
"14","Hora [16th Century AD]","

        Hora, palm leaf manuscript, 173 leaves. Subject: Jyotisha.

                  
            
              
              View images from this file (346)
            
          
              ","EAP208/1/14","345 TIFF Images","Manuscript","File","Sanskrit","Malayalam","16th Century AD","Access is for research purposes only."
"15","Lakshanamrita [16th Century AD]","

        Lakshanamrita , palm leaf manuscript, 86 leaves. Subject: Veda.

                  
            
              
              View images from this file (170)
            
          
              ","EAP208/1/15","172 TIFF Images","Manuscript","File","Malayalam","Malayalam","16th Century AD","Access is for research purposes only."
"16","Durga puja mantra [16th Century AD]","

        Durga puja mantra , palm leaf manuscript, 77 leaves. Subject: Stotra.

                  
            
              
              View images from this file (153)
            
          
              ","EAP208/1/16","154 TIFF Images","Manuscript","File","Sanskrit","Malayalam","16th Century AD","Access is for research purposes only."
"17","Brahmotthara Khanda [16th Century AD]","

        Brahmotthara Khanda, palm leaf manuscript, 223 leaves. Subject: Purana.

                  
            
              
              View images from this file (445)
            
          
              ","EAP208/1/17","445 TIFF Images","Manuscript","File","Sanskrit","Malayalam","16th Century AD","Access is for research purposes only."
"18","Raghuvamsa [16th Century AD]","

        Raghuvamsa , palm leaf manuscript, 95 leaves. Subject: Kavya.

                  
            
              
              View images from this file (190)
            
          
              ","EAP208/1/18","190 TIFF Images","Manuscript","File","Sanskrit","Malayalam","16th Century AD","Access is for research purposes only."
"19","Swori katha [16th Century AD]","

        Swori katha , palm leaf manuscript, 53 leaves. Subject: Purana.

                  
            
              
              View images from this file (106)
            
          
              ","EAP208/1/19","106 TIFF Images","Manuscript","File","Sanskrit","Malayalam","16th Century AD","Access is for research purposes only."
"20","Kali puja [16th Century AD]","

        Kali puja , palm leaf manuscript, 19 leaves. Subject: Veda.

                  
            
              
              View images from this file (38)
            
          
              ","EAP208/1/20","38 TIFF Images","Manuscript","File","Sanskrit","Malayalam","16th Century AD","Access is for research purposes only."
"21","Yajurveda + Varna Krishna darpanam [16th Century AD]","

        Yajurveda + Varna Krishna darpanam , palm leaf manuscript, 111 leaves. Subject: Veda.

                  
            
              
              View images from this file (222)
            
          
              ","EAP208/1/21","222 TIFF Images","Manuscript","File","Sanskrit","Tulu","16th Century AD","Access is for research purposes only."
"22","Guru dakshina katha [15th Century AD]","

        Guru dakshina katha , palm leaf manuscript, 31 leaves. Subject: Purana.

                  
            
              
              View images from this file (61)
            
          
              ","EAP208/1/22","61 TIFF Images","Manuscript","File","Malayalam","Malayalam","15th Century","Access is for research purposes only."
"23","Namalinganushasana [15th Century AD]","

        Namalinganushasana , palm leaf manuscript, 50 leaves. Subject: Stotra.

                  
            
              
              View images from this file (100)
            
          
              ","EAP208/1/23","100 TIFF Images","Manuscript","File","Sanskrit","Malayalam","15th Century","Access is for research purposes only."
"24","Nakshatrathi vivarana [15th Century AD]","

        Nakshatrathi vivarana , palm leaf manuscript, 164 leaves. Subject: Jyotisha.

                  
            
              
              View images from this file (327)
            
          
              ","EAP208/1/24","327 TIFF Images","Manuscript","File","Sanskrit","Malayalam","15th Century","Access is for research purposes only."
"25","Bhava dipika [15th Century AD]","

        Bhava dipika , palm leaf manuscript, 104 leaves. Subject: Mantra.

                  
            
              
              View images from this file (208)
            
          
              ","EAP208/1/25","208 TIFF Images","Manuscript","File","Sanskrit","Malayalam","15th Century","Access is for research purposes only."
"26","Griha lakshana [15th Century AD]","

        Griha lakshana , palm leaf manuscript, 132 leaves. Subject: Mantra.

                  
            
              
              View images from this file (268)
            
          
              ","EAP208/1/26","264 TIFF Images","Manuscript","File","Sanskrit","Malayalam","15th Century","Access is for research purposes only."
"27","Sthri jathaka [15th Century AD]","

        Sthri jathaka , palm leaf manuscript, 31 leaves. Subject: Jyotiṣa.

                  
            
              
              View images from this file (61)
            
          
              ","EAP208/1/27","61 TIFF Images","Manuscript","File","Sanskrit","Malayalam","15th Century","Access is for research purposes only."
"28","Lakṣaṇamṛtam [15th Century AD]","

        Lakṣaṇamṛtam , palm leaf manuscript, 112 leaves. Subject: Jyotiṣa.

                  
            
              
              View images from this file (223)
            
          
              ","EAP208/1/28","224 TIFF Images","Manuscript","File","Malayalam","Malayalam","15th Century","Access is for research purposes only."
