"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","Anna [5 Jul 1987]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/11/77","4 TIFF images","Periodical","File","Tamil","Tamil","05 Jul 1987","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_11_77/1.jp2/full/!600,300/0/default.jpg"
"2","Anna [6 Jul 1987]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/11/78","4 TIFF images","Periodical","File","Tamil","Tamil","06 Jul 1987","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_11_78/1.jp2/full/!600,300/0/default.jpg"
"3","Anna [7 Jul 1987]","

        

                  
            
              
              View images from this file (6)
            
          
              ","EAP372/6/23/11/79","6 TIFF images","Periodical","File","Tamil","Tamil","07 Jul 1987","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_11_79/1.jp2/full/!600,300/0/default.jpg"
"4","Anna [8 Jul 1987]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/11/80","4 TIFF images","Periodical","File","Tamil","Tamil","08 Jul 1987","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_11_80/1.jp2/full/!600,300/0/default.jpg"
"5","Anna [9 Jul 1987]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/11/81","4 TIFF images","Periodical","File","Tamil","Tamil","09 Jul 1987","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_11_81/1.jp2/full/!600,300/0/default.jpg"
"6","Anna [10 Jul 1987]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/11/82","4 TIFF images","Periodical","File","Tamil","Tamil","10 Jul 1987","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_11_82/1.jp2/full/!600,300/0/default.jpg"
"7","Anna [11 Jul 1987]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/11/83","4 TIFF images","Periodical","File","Tamil","Tamil","11 Jul 1987","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_11_83/1.jp2/full/!600,300/0/default.jpg"
"8","Anna [12 Jul 1987]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/11/84","4 TIFF images","Periodical","File","Tamil","Tamil","12 Jul 1987","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_11_84/1.jp2/full/!600,300/0/default.jpg"
"9","Anna [13 Jul 1987]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/11/85","4 TIFF images","Periodical","File","Tamil","Tamil","13 Jul 1987","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_11_85/1.jp2/full/!600,300/0/default.jpg"
"10","Anna [14 Jul 1987]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/11/86","4 TIFF images","Periodical","File","Tamil","Tamil","14 Jul 1987","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_11_86/1.jp2/full/!600,300/0/default.jpg"
