"","Page Title","Description","Reference","Extent","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","Sher phyin ‘Bum: Volume 1","

        This series consists of titles from the bKa’ ‘gyur.Written in the dBu can script.Originals dated as: c.1690-1692.

                  
            
              
              View images from this file (365)
            
          
              ","EAP039/1/1/1/1","365 TIFF images","File","Tibetan","Tibetan","2006","Access for research purposes only. Not to be reproduced without written permission from Gangtey Monastery.","https://images.eap.bl.uk/EAP039/EAP039_1_1_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Sher phyin ‘Bum: Volume 2","

        This series consists of titles from the bKa’ ‘gyur.Written in the dBu can script.Originals dated as: c.1690-1692.

                  
            
              
              View images from this file (380)
            
          
              ","EAP039/1/1/1/2","380 Tiff images","File","Tibetan","Tibetan","2006","Access for research purposes only. Not to be reproduced without written permission from Gangtey Monastery.","https://images.eap.bl.uk/EAP039/EAP039_1_1_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","Sher phyin ‘Bum: Volume 3","

        This series consists of titles from the bKa’ ‘gyur.Written in the dBu can script.Originals dated as: c.1690-1692.

                  
            
              
              View images from this file (363)
            
          
              ","EAP039/1/1/1/3","363 TIFF images","File","Tibetan","Tibetan","2006","Access for research purposes only. Not to be reproduced without written permission from Gangtey Monastery.","https://images.eap.bl.uk/EAP039/EAP039_1_1_1_3/1.jp2/full/!600,300/0/default.jpg"
"4","Sher phyin ‘Bum: Volume 4","

        This series consists of titles from the bKa’ ‘gyur.Written in the dBu can script.Originals dated as: c.1690-1692.

                  
            
              
              View images from this file (364)
            
          
              ","EAP039/1/1/1/4","364 TIFF images","File","Tibetan","Tibetan","2006","Access for research purposes only. Not to be reproduced without written permission from Gangtey Monastery.","https://images.eap.bl.uk/EAP039/EAP039_1_1_1_4/1.jp2/full/!600,300/0/default.jpg"
"5","Sher phyin ‘Bum: Volume 5","

        This series consists of titles from the bKa’ ‘gyur.Written in the dBu can script.Originals dated as: c.1690-1692.

                  
            
              
              View images from this file (390)
            
          
              ","EAP039/1/1/1/5","390 TIFF images","File","Tibetan","Tibetan","2006","Access for research purposes only. Not to be reproduced without written permission from Gangtey Monastery.","https://images.eap.bl.uk/EAP039/EAP039_1_1_1_5/1.jp2/full/!600,300/0/default.jpg"
"6","Sher phyin ‘Bum: Volume 6","

        This series consists of titles from the bKa’ ‘gyur.Written in the dBu can script.Originals dated as: c.1690-1692.

                  
            
              
              View images from this file (351)
            
          
              ","EAP039/1/1/1/6","351 TIFF images","File","Tibetan","Tibetan","2006","Access for research purposes only. Not to be reproduced without written permission from Gangtey Monastery.","https://images.eap.bl.uk/EAP039/EAP039_1_1_1_6/1.jp2/full/!600,300/0/default.jpg"
"7","Sher phyin ‘Bum: Volume 7","

        This series consists of titles from the bKa’ ‘gyur.Written in the dBu can script.Originals dated as: c.1690-1692.

                  
            
              
              View images from this file (399)
            
          
              ","EAP039/1/1/1/7","399 TIFF images","File","Tibetan","Tibetan","2006","Access for research purposes only. Not to be reproduced without written permission from Gangtey Monastery.","https://images.eap.bl.uk/EAP039/EAP039_1_1_1_7/1.jp2/full/!600,300/0/default.jpg"
"8","Sher phyin ‘Bum: Volume 8","

        This series consists of titles from the bKa’ ‘gyur.Written in the dBu can script.Originals dated as: c.1690-1692.

                  
            
              
              View images from this file (351)
            
          
              ","EAP039/1/1/1/8","351 TIFF images","File","Tibetan","Tibetan","2006","Access for research purposes only. Not to be reproduced without written permission from Gangtey Monastery.","https://images.eap.bl.uk/EAP039/EAP039_1_1_1_8/1.jp2/full/!600,300/0/default.jpg"
"9","Sher phyin ‘Bum: Volume 9","

        This series consists of titles from the bKa’ ‘gyur.Written in the dBu can script.Originals dated as: c.1690-1692.

                  
            
              
              View images from this file (382)
            
          
              ","EAP039/1/1/1/9","382 TIFF images","File","Tibetan","Tibetan","2006","Access for research purposes only. Not to be reproduced without written permission from Gangtey Monastery.","https://images.eap.bl.uk/EAP039/EAP039_1_1_1_9/1.jp2/full/!600,300/0/default.jpg"
"10","Sher phyin ‘Bum: Volume 10","

        This series consists of titles from the bKa’ ‘gyur.Written in the dBu can script.Originals dated as: c.1690-1692. 

                  
            
              
              View images from this file (367)
            
          
              ","EAP039/1/1/1/10","367 TIFF images","File","Tibetan","Tibetan","2006","Access for research purposes only. Not to be reproduced without written permission from Gangtey Monastery.","https://images.eap.bl.uk/EAP039/EAP039_1_1_1_10/1.jp2/full/!600,300/0/default.jpg"
"11","Sher phyin ‘Bum: Volume 11","

        This series consists of titles from the bKa’ ‘gyur.Written in the dBu can script.Originals dated as: c.1690-1692.

                  
            
              
              View images from this file (382)
            
          
              ","EAP039/1/1/1/11","382 TIFF images","File","Tibetan","Tibetan","2006","Access for research purposes only. Not to be reproduced without written permission from Gangtey Monastery.","https://images.eap.bl.uk/EAP039/EAP039_1_1_1_11/1.jp2/full/!600,300/0/default.jpg"
"12","Sher phyin ‘Bum: Volume 12","

        This series consists of titles from the bKa’ ‘gyur.Written in the dBu can script.Originals dated as: c.1690-1692.

                  
            
              
              View images from this file (361)
            
          
              ","EAP039/1/1/1/12","361 TIFF images","File","Tibetan","Tibetan","2006","Access for research purposes only. Not to be reproduced without written permission from Gangtey Monastery.","https://images.eap.bl.uk/EAP039/EAP039_1_1_1_12/1.jp2/full/!600,300/0/default.jpg"
