"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"292","Bhabishyate bangali [n. d.]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: S. Oyajeda Ali. Publisher: S. l. : s. n.                                                          View images from this file (113)                                    ","EAP341/1/292","113 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_292/1.jp2/full/!600,300/0/default.jpg"
"293","Samaja samaskara [n. d.]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Tarakumara Kabiratna. Publisher: Calcutta : B. K. Chakraborty.                                                          View images from this file (107)                                    ","EAP341/1/293","107 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_293/1.jp2/full/!600,300/0/default.jpg"
"294","Madhyabitta kona pathe? [1320 [B. S.] 1913]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Narahari Kabiraja. Publisher: Calcutta : Eagal Publishers.                                                          View images from this file (131)                                    ","EAP341/1/294","131 Tiff images","Book","File","Bengali","Bengali","1913","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_294/1.jp2/full/!600,300/0/default.jpg"
"295","Hinda svarajya [1337 [B. S.] 1930]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Mohandasa Karamcanda Gandhi. Publisher: Calcutta : Khitish Chandra Dasgupta.                                                          View images from this file (141)                                    ","EAP341/1/295","141 Tiff images","Book","File","Bengali","Bengali","1930","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_295/1.jp2/full/!600,300/0/default.jpg"
"296","Bharatbarshe [1310 [B. S.] 1903]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 17 cm. Author: Jyotirindranatha Thakura. Publisher: Calcutta : s. n.                                                          View images from this file (77)                                    ","EAP341/1/296","77 Tiff images","Book","File","Bengali","Bengali","1903","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_296/1.jp2/full/!600,300/0/default.jpg"
"297","Hindu dharma o asprisyata [1339 [B. S.] 1932]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Mohandasa Karamcanda Gandhi. Publisher: Calcutta : Hemprabha Dasgupta.                                                          View images from this file (121)                                    ","EAP341/1/297","121 Tiff images","Book","File","Bengali","Bengali","1932","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_297/1.jp2/full/!600,300/0/default.jpg"
"298","Bhabi samaja [1334 [B. S.] 1927]","        This book deals with the subject: Culture and society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Nalinikanta Gupta. Publisher: Calcutta : Calcutta Publishers.                                                          View images from this file (129)                                    ","EAP341/1/298","129 Tiff images","Book","File","Bengali","Bengali","1927","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_298/1.jp2/full/!600,300/0/default.jpg"
"299","Desa paricaya [1331 [B. S.] 1924]","        This book deals with the subject: Culture and society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Aruncandra Guha. Publisher: Calcutta : Himansu Kumar Basuray.                                                          View images from this file (149)                                    ","EAP341/1/299","149 Tiff images","Book","File","Bengali","Bengali","1924","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_299/1.jp2/full/!600,300/0/default.jpg"
"300","Ami (katipaya samajika prabandhamaya gadya kabya) [n. d.]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 17 cm. Author: Kalimaya Ghataka. Publisher: Calcutta : s. n.                                                          View images from this file (125)                                    ","EAP341/1/300","125 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_300/1.jp2/full/!600,300/0/default.jpg"
"301","Karmayogi [1334 [B. S.] 1927]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 17 cm. Author: Arabinda Ghosha. Publisher: Calcutta : Barada Agency.                                                          View images from this file (203)                                    ","EAP341/1/301","203 Tiff images","Book","File","Bengali","Bengali","1927","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_301/1.jp2/full/!600,300/0/default.jpg"
"302","Palli - samiti - darpana [n. d.]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 20 cm. Publisher: S. l. : s. n.                                                          View images from this file (53)                                    ","EAP341/1/302","53 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_302/1.jp2/full/!600,300/0/default.jpg"
"303","Pathera ingita [1337 [B. S.] 1930]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 15 cm. Author: Barindrakumara Ghosha. Publisher: Calcutta : Bijali Sahitya Mandir.                                                          View images from this file (83)                                    ","EAP341/1/303","83 Tiff images","Book","File","Bengali","Bengali","1930","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_303/1.jp2/full/!600,300/0/default.jpg"
"304","Samaja-samasya [1322 [B. S.] 1915]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Yaminimohana Ghosha. Publisher: Calcutta : Exchange Publishers.                                                          View images from this file (153)                                    ","EAP341/1/304","153 Tiff images","Book","File","Bengali","Bengali","1915","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_304/1.jp2/full/!600,300/0/default.jpg"
"305","Hindu dharma o samaja (vol- I) [1319 [B. S.] 1912]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Kumudnatha Coudhuri. Publisher: Calcutta : Kumudnatha Cowdhury.                                                          View images from this file (45)                                    ","EAP341/1/305","45 Tiff images","Book","File","Bengali","Bengali","1912","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_305/1.jp2/full/!600,300/0/default.jpg"
"306","Samaja cintaya bankimcandra [1938]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Subodhkrishna Ghoshala. Publisher: Calcutta : Kolkata Oriental Book Agency.                                                          View images from this file (37)                                    ","EAP341/1/306","37 Tiff images","Book","File","Bengali","Bengali","1938","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_306/1.jp2/full/!600,300/0/default.jpg"
"307","Purono prasna ara natuna prithibi [1369 [B. S.] 1962]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Debiprasada Cattopadhyaya. Publisher: Calcutta : Sahitya Jagat.                                                          View images from this file (221)                                    ","EAP341/1/307","221 Tiff images","Book","File","Bengali","Bengali","1962","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_307/1.jp2/full/!600,300/0/default.jpg"
"308","Yuga samasya [n. d.]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 17 cm. Author: Atulcandra Datta. Publisher: Calcutta : Indian Book Club.                                                          View images from this file (43)                                    ","EAP341/1/308","43 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_308/1.jp2/full/!600,300/0/default.jpg"
"309","Jati samgathana [1335 [B. S.] 1928]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Bhupendranatha Datta. Publisher: Calcutta : Barman Publishers.                                                          View images from this file (121)                                    ","EAP341/1/309","121 Tiff images","Book","File","Bengali","Bengali","1928","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_309/1.jp2/full/!600,300/0/default.jpg"
"310","Tarunera abhiyana [n. d.]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Bhupendranatha Datta. Publisher: Calcutta : Barman Publishers.                                                          View images from this file (127)                                    ","EAP341/1/310","127 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_310/1.jp2/full/!600,300/0/default.jpg"
"311","""Bharatiya samaja paddhati, utpatti o bibarttanera itihasa (vol- I) [1345 [B. S.] 1938]""","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Bhupendranatha Datta. Publisher: Calcutta : Barman Publishers.                                                          View images from this file (179)                                    ","EAP341/1/311","179 Tiff images","Book","File","Bengali","Bengali","1938","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_311/1.jp2/full/!600,300/0/default.jpg"
"312","Hindusamaja-bijnana (a comparative study of the Hindu social system) [n. d.]","        This book deals with the subject: History. Original material: 1 book. Brittle, worm eaten. The original volume with length of 21 cm. Author: Kaliprasanna Dasgupta. Publisher: Calcutta : Rajendralal Sarkar.              ","EAP341/1/312","877 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","NA"
"313","Bamlara pallira samasya [n. d.]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Nagendracandra Dasgupta. Publisher: Calcutta : Saraswati Library.                                                          View images from this file (117)                                    ","EAP341/1/313","117 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_313/1.jp2/full/!600,300/0/default.jpg"
"314","Desera katha [n. d.]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Cittaranjana Dasa. Publisher: Calcutta : Sukumar Ranjan Das.                                                          View images from this file (123)                                    ","EAP341/1/314","123 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_314/1.jp2/full/!600,300/0/default.jpg"
"315","Bharatera sadhana [n. d.]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 16 cm. Author: Svami Prajnananda. Publisher: Calcutta : Udbodhan Karyalay.                                                          View images from this file (293)                                    ","EAP341/1/315","293 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_315/1.jp2/full/!600,300/0/default.jpg"
"316","Svadhina manusha [1334 [B. S.] 1927]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Upendranatha Banyopadhyaya. Publisher: Calcutta : Arya Sahitya Bhaban.                                                          View images from this file (109)                                    ","EAP341/1/316","109 Tiff images","Book","File","Bengali","Bengali","1927","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_316/1.jp2/full/!600,300/0/default.jpg"
"317","Abhibyaktira pathe manusha (abhibyaktira ekti dik) [1368 [B. S.] 1961]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Basantakumara Bandyopadhyaya. Publisher: Calcutta : D. M. Library.                                                          View images from this file (71)                                    ","EAP341/1/317","71 Tiff images","Book","File","Bengali","Bengali","1961","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_317/1.jp2/full/!600,300/0/default.jpg"
"318","Byakti o samaja [1327 [B. S.] 1920]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Basantakumara Bandyopadhyaya. Publisher: Chandannagar : Bpra Bhandra.                                                          View images from this file (105)                                    ","EAP341/1/318","105 Tiff images","Book","File","Bengali","Bengali","1920","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_318/1.jp2/full/!600,300/0/default.jpg"
"319","Samaja o sahadharmita (samajtattvera ekti dika) [1349 [B. S.] 1942]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Basantakumara Bandyopadhyaya. Publisher: Gondalpara : Amalendu Bandhyopadhyay.                                                          View images from this file (93)                                    ","EAP341/1/319","93 Tiff images","Book","File","Bengali","Bengali","1942","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_319/1.jp2/full/!600,300/0/default.jpg"
"320","Sarbodaya o sasanmukta samaja [1367 [B. S.] 1960]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 22 cm. Author: Sailendrakumara Bandyopadhyaya. Publisher: Calcutta : D. M. Library.                                                          View images from this file (129)                                    ","EAP341/1/320","129 Tiff images","Book","File","Bengali","Bengali","1960","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_320/1.jp2/full/!600,300/0/default.jpg"
"321","Samaja o tahara adarsa vol- I (samaja - atma) [1315 [B. S.] 1908]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 21 cm. Author: Debendrabijaya Basu. Publisher: Calcutta : Bhutnath palit.                                                          View images from this file (201)                                    ","EAP341/1/321","201 Tiff images","Book","File","Bengali","Bengali","1908","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_321/1.jp2/full/!600,300/0/default.jpg"
