"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","""Uliyan [Sep 16, 1924]""","        Printed serial. Volume and issue: Malar 5, ital 2.                                                          View images from this file (11)                                    ","EAP183/1/1/1","11 TIFF images","Periodical","File","Tamil","Tamil","1924","Access is for research purposes only","https://images.eap.bl.uk/EAP183/EAP183_1_1_1/843.jp2/full/!600,300/0/default.jpg"
"2","""Uliyan [Sep 23, 1924]""","        Printed serial. Volume and issue: Malar 5, ital 3.                                                          View images from this file (11)                                    ","EAP183/1/1/2","11 TIFF images","Periodical","File","Tamil","Tamil","1924","Access is for research purposes only","https://images.eap.bl.uk/EAP183/EAP183_1_1_2/854.jp2/full/!600,300/0/default.jpg"
"3","""Uliyan [Sep 30, 1924]""","        Printed serial. Volume and issue: Malar 5, ital 4.                                                          View images from this file (11)                                    ","EAP183/1/1/3","11 TIFF images","Periodical","File","Tamil","Tamil","1924","Access is for research purposes only","https://images.eap.bl.uk/EAP183/EAP183_1_1_3/865.jp2/full/!600,300/0/default.jpg"
"4","""Uliyan [Oct 14, 1924]""","        Printed serial. Volume and issue: Malar 5, ital 5.                                                          View images from this file (13)                                    ","EAP183/1/1/4","13 TIFF images","Periodical","File","Tamil","Tamil","1924","Access is for research purposes only","https://images.eap.bl.uk/EAP183/EAP183_1_1_4/876.jp2/full/!600,300/0/default.jpg"
"5","""Uliyan [Oct 21, 1924]""","        Printed serial. Volume and issue: Malar 5, ital 6.                                                          View images from this file (11)                                    ","EAP183/1/1/5","11 TIFF images","Periodical","File","Tamil","Tamil","1924","Access is for research purposes only","https://images.eap.bl.uk/EAP183/EAP183_1_1_5/889.jp2/full/!600,300/0/default.jpg"
"6","""Uliyan [Oct 28, 1924]""","        Printed serial. Volume and issue: Malar 5, ital 7.                                                          View images from this file (11)                                    ","EAP183/1/1/6","11 TIFF images","Periodical","File","Tamil","Tamil","1924","Access is for research purposes only","https://images.eap.bl.uk/EAP183/EAP183_1_1_6/900.jp2/full/!600,300/0/default.jpg"
"7","""Uliyan [Nov 4, 1924]""","        Printed serial. Volume and issue: Malar 5, ital 8.                                                          View images from this file (9)                                    ","EAP183/1/1/7","9 TIFF images","Periodical","File","Tamil","Tamil","1924","Access is for research purposes only","https://images.eap.bl.uk/EAP183/EAP183_1_1_7/911.jp2/full/!600,300/0/default.jpg"
"8","""Uliyan [Nov 11, 1924]""","        Printed serial. Volume and issue: Malar 5, ital 9.                                                          View images from this file (11)                                    ","EAP183/1/1/8","11 TIFF images","Periodical","File","Tamil","Tamil","1924","Access is for research purposes only","https://images.eap.bl.uk/EAP183/EAP183_1_1_8/920.jp2/full/!600,300/0/default.jpg"
"9","""Uliyan [Nov 18, 1924]""","        Printed serial. Volume and issue: Malar 5, ital 10.                                                          View images from this file (11)                                    ","EAP183/1/1/9","11 TIFF images","Periodical","File","Tamil","Tamil","1924","Access is for research purposes only","https://images.eap.bl.uk/EAP183/EAP183_1_1_9/931.jp2/full/!600,300/0/default.jpg"
"10","""Uliyan [Nov 25, 1924]""","        Printed serial. Volume and issue: Malar 5, ital 11.                                                          View images from this file (11)                                    ","EAP183/1/1/10","11 TIFF images","Periodical","File","Tamil","Tamil","1924","Access is for research purposes only","https://images.eap.bl.uk/EAP183/EAP183_1_1_10/942.jp2/full/!600,300/0/default.jpg"
