"","Image URL","Image Name"
"62","https://images.eap.bl.uk/EAP373/EAP373_1_2/34.jp2/info.json","EAP373_1_2/34"
"63","https://images.eap.bl.uk/EAP373/EAP373_1_2/35.jp2/info.json","EAP373_1_2/35"
"64","https://images.eap.bl.uk/EAP373/EAP373_1_2/36.jp2/info.json","EAP373_1_2/36"
"65","https://images.eap.bl.uk/EAP373/EAP373_1_2/37.jp2/info.json","EAP373_1_2/37"
"66","https://images.eap.bl.uk/EAP373/EAP373_1_2/38.jp2/info.json","EAP373_1_2/38"
"67","https://images.eap.bl.uk/EAP373/EAP373_1_2/39.jp2/info.json","EAP373_1_2/39"
"68","https://images.eap.bl.uk/EAP373/EAP373_1_2/40.jp2/info.json","EAP373_1_2/40"
"69","https://images.eap.bl.uk/EAP373/EAP373_1_2/41.jp2/info.json","EAP373_1_2/41"
"70","https://images.eap.bl.uk/EAP373/EAP373_1_2/42.jp2/info.json","EAP373_1_2/42"
"71","https://images.eap.bl.uk/EAP373/EAP373_1_2/43.jp2/info.json","EAP373_1_2/43"
"72","https://images.eap.bl.uk/EAP373/EAP373_1_2/44.jp2/info.json","EAP373_1_2/44"
"73","https://images.eap.bl.uk/EAP373/EAP373_1_2/45.jp2/info.json","EAP373_1_2/45"
"74","https://images.eap.bl.uk/EAP373/EAP373_1_2/46.jp2/info.json","EAP373_1_2/46"
"75","https://images.eap.bl.uk/EAP373/EAP373_1_2/47.jp2/info.json","EAP373_1_2/47"
"76","https://images.eap.bl.uk/EAP373/EAP373_1_2/48.jp2/info.json","EAP373_1_2/48"
"77","https://images.eap.bl.uk/EAP373/EAP373_1_2/49.jp2/info.json","EAP373_1_2/49"
"78","https://images.eap.bl.uk/EAP373/EAP373_1_2/50.jp2/info.json","EAP373_1_2/50"
"79","https://images.eap.bl.uk/EAP373/EAP373_1_2/51.jp2/info.json","EAP373_1_2/51"
"80","https://images.eap.bl.uk/EAP373/EAP373_1_2/52.jp2/info.json","EAP373_1_2/52"
"81","https://images.eap.bl.uk/EAP373/EAP373_1_2/53.jp2/info.json","EAP373_1_2/53"
"82","https://images.eap.bl.uk/EAP373/EAP373_1_2/54.jp2/info.json","EAP373_1_2/54"
"83","https://images.eap.bl.uk/EAP373/EAP373_1_2/55.jp2/info.json","EAP373_1_2/55"
"84","https://images.eap.bl.uk/EAP373/EAP373_1_2/56.jp2/info.json","EAP373_1_2/56"
"85","https://images.eap.bl.uk/EAP373/EAP373_1_2/57.jp2/info.json","EAP373_1_2/57"
"86","https://images.eap.bl.uk/EAP373/EAP373_1_2/58.jp2/info.json","EAP373_1_2/58"
"87","https://images.eap.bl.uk/EAP373/EAP373_1_2/59.jp2/info.json","EAP373_1_2/59"
