"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"1","Mantra [19th century]","

        

                  
            
              
              View images from this file (176)
            
          
              ","EAP276/1/1","1 file","Manuscript","File","Malay","Arabic","19th century","Access is for research purposes only."
"2","List of financial report [23 November 1845]","

        

                  
            
              
              View images from this file (40)
            
          
              ","EAP276/1/2","1 file","Report","File","Arabic, Malay","Arabic","23 Nov 1845","Access is for research purposes only."
"3","The history of family [20th century]","

        

                  
            
              
              View images from this file (6)
            
          
              ","EAP276/1/3","1 file","Manuscript","File","Malay","Latin","20th century","Access is for research purposes only."
"4","Letter of appointment [19 June 1895]","

        

                  
            
              
              View images from this file (2)
            
          
              ","EAP276/1/4","1 file","Correspondence","File","Dutch","Latin, Arabic","19 Jun 1895","Access is for research purposes only."
"5","Letter of appointment [19 December 1876]","

        

                  
            
              
              View images from this file (1)
            
          
              ","EAP276/1/5","1 file","Correspondence","File","Dutch, Malay","Latin, Arabic","19 Dec 1876","Access is for research purposes only."
"6","Letter of appointment [4 February 1896]","

        

                  
            
              
              View images from this file (2)
            
          
              ","EAP276/1/6","1 file","Correspondence","File","Dutch, Malay","Latin, Arabic","4 Feb 1896","Access is for research purposes only."
"7","Letter of appointment [December 4 1900]","

        

                  
            
              
              View images from this file (1)
            
          
              ","EAP276/1/7","1 file","Correspondence","File","Dutch, Malay","Latin, Arabic","04 Dec 1900","Access is for research purposes only."
"8","Letter of appointment [21 May 1880]","

        

                  
            
              
              View images from this file (2)
            
          
              ","EAP276/1/8","1 file","Correspondence","File","Dutch, Malay","Latin","21 May 1880","Access is for research purposes only."
"9","Letter of appointment [18 November 1811]","

        

                  
            
              
              View images from this file (1)
            
          
              ","EAP276/1/9","1 file","Correspondence","File","English","Latin","18 Nov 1811","Access is for research purposes only."
"10","The history of family [March 27 1948]","

        

                  
            
              
              View images from this file (2)
            
          
              ","EAP276/1/10","1 file","Manuscript","File","Malay","Latin, Arabic","27 Mar 1948","Access is for research purposes only."
"11","Letter of appointment [3 September 1841]","

        

                  
            
              
              View images from this file (1)
            
          
              ","EAP276/1/11","1 file","Correspondence","File","Dutch, Malay","Latin","3 Sep 1841","Access is for research purposes only."
"12","Letter of appointment [23 April 1810]","

        

                  
            
              
              View images from this file (2)
            
          
              ","EAP276/1/12","1 file","Correspondence","File","English","Arabic","23 Apr 1810","Access is for research purposes only."
"13","The history of family [20th century]","

        

                  
            
              
              View images from this file (3)
            
          
              ","EAP276/1/13","1 file","Manuscript","File","Malay","Arabic","20th century","Access is for research purposes only."
"14","Letter of notification [20 August 1891]","

        

                  
            
              
              View images from this file (2)
            
          
              ","EAP276/1/14","1 file","Correspondence","File","Malay","Latin","20 Aug 1891","Access is for research purposes only."
"15","Letter about the land rights [19 March 1918]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP276/1/15","1 file","Correspondence","File","Malay","Arabic","19 Mar 1918","Access is for research purposes only."
"16","Letter of report [19th century]","

        

                  
            
              
              View images from this file (2)
            
          
              ","EAP276/1/16","1 file","Correspondence","File","Malay","Arabic","19th century","Access is for research purposes only."
"17","Letter of report [19th century]","

        

                  
            
              
              View images from this file (2)
            
          
              ","EAP276/1/17","1 file","Correspondence","File","Malay","Arabic","19th century","Access is for research purposes only."
