"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","Gurucharitrasara [Sake 1779]","        Digital images of Gurucharitrasara, a manuscript on Purana. Author: Sarasvati Gangadhara; Date: Sake 1779; Extent: 14 folios, 5 lines per page. The manuscript bears an illustration on the last page.                                                          View images from this file (30)                                    ","EAP023/1/1/1","30 TIFF images","Manuscript","File","Marathi","Devanagari","1857","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Tattvabodhana [Sake 1747]","        Digital images of Tattvabodhana. Author: Madadeva (Chintamani Tanuha) Daivajina; Date: Sake 1747; Extent: 14 folios, 7 lines per page. Pages 1 and 2 are missing from the manuscript.                                                          View images from this file (25)                                    ","EAP023/1/1/2","25 TIFF images","Manuscript","File","Marathi","Devanagari","1825","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","Namadeva Sandhya","        Digital images of Namadeva Sandhya, a manuscript concerning Namadeva's Abhang. Author: Vishnudasa Nama; Date: unknown; Dimension: 11 folios, 12 lines per page.                                                          View images from this file (23)                                    ","EAP023/1/1/3","23 TIFF images","Manuscript","File","Marathi","Devanagari","13th century-18th century","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_3/1.jp2/full/!600,300/0/default.jpg"
"4","""Bhimarupi Stotra, Rama Stotra (incomplete)""","        Digital images of two texts, Bhimarupi Stotra and Rama Stotra (incomplete). Author: Ramadasa; Date: unknown; Extent: 7 folios, 7 lines per page.                                                          View images from this file (16)                                    ","EAP023/1/1/4","16 TIFF images","Manuscript","File","Marathi","Devanagari","13th century-18th century","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_4/1.jp2/full/!600,300/0/default.jpg"
"5","Vasisthasara (Adhyaya 1-10) [Sake 1747]","        Digital images of Vasisthasara (Adhyaya 1-10). Author: Raghunatha; Date: Sake 1747; Extent: 176 folios, 10 lines per page. Comments: subject Mahatmya, manuscript in good condition.                                                          View images from this file (865)                                    ","EAP023/1/1/5","865 TIFF images","Manuscript","File","Marathi","Devanagari","1825","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_5/1.jp2/full/!600,300/0/default.jpg"
"6","Svatmasukha","        Digital images of Svatmasukha. Author: Ekanatha; Date: unknown; Extent: 82 folios, 8 lines per page; Comments: complete manuscript, last three pages damaged.                                                          View images from this file (84)                                    ","EAP023/1/1/6","84 TIFF images","Manuscript","File","Marathi","Devanagari","13th century-18th century","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_6/1.jp2/full/!600,300/0/default.jpg"
"7","Vidnyana Shruti Sara Sangraha","        Digital images of Vidnyana Shruti Sara Sangraha. Author: Raghunatha; Date: unknown; Extent: 8 folios, 13 lines per page.                                                          View images from this file (8)                                    ","EAP023/1/1/7","8 TIFF images","Manuscript","File","Marathi","Devanagari","13th century-18th century","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_7/1.jp2/full/!600,300/0/default.jpg"
"8","Abhanga Gatha Bahenabai","        Digital images of a photocopy of Abhanga Gatha Bahenabai. Author: Bahenabai; Date: unknown; Extent: folio numbers 38 to 190. Comments: Ekanatha Abhanga Gatha is attached within the manuscript.                                                          View images from this file (433)                                    ","EAP023/1/1/8","433 TIFF images","Manuscript","File","Marathi","Devanagari","13th century-18th century","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_8/1.jp2/full/!600,300/0/default.jpg"
"9","Bhaktalilamrita (tukaram Charitra) [Sake 1768]","        Digital images of Bhaktalilamrita (tukaram Charitra). Author: Mahipati; Date: Sake 1768; Comments: 1-19 Adhyay / 3564 ovis, adhyaya wise.                                                          View images from this file (453)                                    ","EAP023/1/1/9","453 TIFF images","Manuscript","File","Marathi","Devanagari","1846","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_9/1.jp2/full/!600,300/0/default.jpg"
"10","Amvitanubhava","        Digital images of Amvitanubhava. Author: Badawe Dnyaneshrar; Date: unknown; Extent: 96 folios, 6 lines per page. Comments: manuscript is in poor condition.                                                          View images from this file (191)                                    ","EAP023/1/1/10","191 TIFF images","Manuscript","File","Marathi","Devanagari","13th century-18th century","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_10/1.jp2/full/!600,300/0/default.jpg"
"11","Namasudha (Keshav Deshpande) [Sake 1756]","        Digital images of Namasudha (Keshav Deshpande). Author: Keshav Deshpande; Date: Sake 1756; Extent: 56 folios; Comments: 3 adhyayas.                                                          View images from this file (107)                                    ","EAP023/1/1/11","107 TIFF images","Manuscript","File","Marathi","Devanagari","1834","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_11/1.jp2/full/!600,300/0/default.jpg"
"12","Ramalapaddhati [Sake 1759]","        Digital images of a photocopy of Ramalapaddhati. Author: Hidayatulla; Date: Sake 1759; Source: photocopy purchased from V.S.M; Extent: 176 folios and 12 inserts. Comments: very rare manuscript.                                                          View images from this file (363)                                    ","EAP023/1/1/12","363 TIFF images","Manuscript","File","Marathi","Devanagari","1837","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_12/1.jp2/full/!600,300/0/default.jpg"
"13","Abhanga Gatha Adi-Samad [Sake 1782]","        Digital images of Abhanga Gatha, Adi-Samad. Author: Namadev; Date: Sake 1782; Source: purchased from the Bhandarkar Oriental Research Institute; Extent: 60 folios.                                                          View images from this file (59)                                    ","EAP023/1/1/13","59 TIFF images","Manuscript","File","Marathi","Devanagari","1860","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_13/1.jp2/full/!600,300/0/default.jpg"
"14","""Harivarada (incomplete, Ad 16-49) [Sake 1705]""","        Digital images of Harivarade (incomplete, Ad 16-49). Author: Krishna Dyarnava; Date: Sake 1705.                                                          View images from this file (1336)                                    ","EAP023/1/1/14","799 TIFF images","Manuscript","File","Marathi","Devanagari","1783","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_14/1.jp2/full/!600,300/0/default.jpg"
"15","No catalogue info supplied","                                                                  View images from this file (143)                                    ","EAP023/1/1/15","148 TIFF images","Manuscript","File","Marathi","Devanagari","13th century-18th century","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_15/1.jp2/full/!600,300/0/default.jpg"
"16","""Prakashadeepa (Adhyay 1, incomplete)""","        Digital images of Prakashadeepa (Adhyaya 1, incomplete). Author: Mritunjaya. Date: unknown. Extent: 8 folios.                                                          View images from this file (17)                                    ","EAP023/1/1/16","17 TIFF images","Manuscript","File","Marathi","Devanagari","13th century-18th century","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_16/1.jp2/full/!600,300/0/default.jpg"
"17","Vinchu","        Digital images of Vinchu. Author: Namapathak. Date: unknown. Extent: 5 folios. Comment: handwritten copy.                                                          View images from this file (6)                                    ","EAP023/1/1/17","6 TIFF images","Manuscript","File","Marathi","Devanagari","13th century-18th century","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_17/1.jp2/full/!600,300/0/default.jpg"
"18","Nama Ratnamala","        Digital images of Nama Ratnamala. Author: Namapathak; date: unknown. Extent: 8 folios, 110 shloka. Comments: handwritten copy.                                                          View images from this file (9)                                    ","EAP023/1/1/18","9 TIFF images","Manuscript","File","Marathi","Devanagari","13th century-18th century","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_18/1.jp2/full/!600,300/0/default.jpg"
"19","Pralhadacharitra","        Digital images of Pralhadacharitra.Author: Rukmasutesh. Date: unknown. Extent: 11 folios. Comments: handwritten copy.                                                          View images from this file (11)                                    ","EAP023/1/1/19","11 TIFF images","Manuscript","File","Marathi","Devanagari","13th century-18th century","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_19/1.jp2/full/!600,300/0/default.jpg"
"20","Viveka Sindhu Paribhasha","        Digital images of Viveka Sindhu Paribasha. Author: unknown. Date: unknown. Extent: 22 folios.                                                          View images from this file (22)                                    ","EAP023/1/1/20","22 TIFF images","Manuscript","File","Marathi","Devanagari","13th century-18th century","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_20/1.jp2/full/!600,300/0/default.jpg"
"21","Namadeva Pariksha [Sake 1829]","        Digital images of Namadeva Parikhsa. Author: unknown. Date: Sake 1829. Extent: 20 folios. Comments: prose.                                                          View images from this file (41)                                    ","EAP023/1/1/21","41 TIFF images","Manuscript","File","Marathi","Devanagari","1907","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_21/1.jp2/full/!600,300/0/default.jpg"
"22","Kekavali","        Digital images of Kekavali. Author: Morabanta. Date: unknown. Extent: 8 folios. Comment: handwritten copy in bound notebook.                                                          View images from this file (15)                                    ","EAP023/1/1/22","15 TIFF images","Manuscript","File","Marathi","Devanagari","13th century-18th century","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_22/1.jp2/full/!600,300/0/default.jpg"
"23","Gorakhagranth","        Digital images of Gorakhagranth. Author: unknown. Date: unknown. Extent: 32 folios, 30 lines per page. Comment: Granth number 434. Handwritten copy from manuscript.                                                          View images from this file (32)                                    ","EAP023/1/1/23","32 TIFF images","Manuscript","File","Marathi","Devanagari","13th century-18th century","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_23/1.jp2/full/!600,300/0/default.jpg"
"24","Nyaneshvara Namana","        Digital images of Dnyaneshvara Namana. Author: Dnyaneshvar; Date: unknown. Extent: 27 folios, 5 lines per page.                                                          View images from this file (54)                                    ","EAP023/1/1/24","54 TIFF images","Manuscript","File","Marathi","Devanagari","13th century-18th century","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_24/1.jp2/full/!600,300/0/default.jpg"
"25","Yogavasishthasara [Sake 1794]","        Digital images of Yogavasishthasara. Author: Ranganath Nigadikar. Date: Sake 1794. Source: donated by Doctor P. G. Lale. Extent: 132 folios, 9 lines per page. Comments: incomplete, Pra. 8, 9, 10.                                                          View images from this file (260)                                    ","EAP023/1/1/25","260 TIFF images","Manuscript","File","Marathi","Devanagari","1872","Access is for research purposes only","https://images.eap.bl.uk/EAP023/EAP023_1_1_25/1.jp2/full/!600,300/0/default.jpg"
