"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"1","""Mithuna Junior Issue 1, no. 1 [1984]""","

        

                  
            
              
              View images from this file (148)
            
          
              ","EAP128/1/1/1","148 TIFF images","Periodical","File","Thai, English","Thai, Latin","1984","Access is for research purposes only"
"2","Mithuna Junior Issue 2","

        

                  
            
              
              View images from this file (148)
            
          
              ","EAP128/1/1/2","148 TIFF images","Periodical","File","Thai, English","Thai, Latin","1984-1997","Access is for research purposes only"
"3","Mithuna Junior Issue 3","

        

                  
            
              
              View images from this file (148)
            
          
              ","EAP128/1/1/3","148 TIFF images","Periodical","File","Thai, English","Thai, Latin","1984-1997","Access is for research purposes only"
"4","Mithuna Junior Issue 4","

        

                  
            
              
              View images from this file (148)
            
          
              ","EAP128/1/1/4","148 TIFF images","Periodical","File","Thai, English","Thai, Latin","1984-1997","Access is for research purposes only"
"5","Mithuna Junior Issue 5 [1984]","

        

                  
            
              
              View images from this file (148)
            
          
              ","EAP128/1/1/5","148 TIFF images","Periodical","File","Thai, English","Thai, Latin","1984","Access is for research purposes only"
"6","Mithuna Junior Issue 6 [1984]","

        

                  
            
              
              View images from this file (148)
            
          
              ","EAP128/1/1/6","148 TIFF images","Periodical","File","Thai, English","Thai, Latin","1984","Access is for research purposes only"
"7","Mithuna Junior Issue 7 [1984]","

        

                  
            
              
              View images from this file (148)
            
          
              ","EAP128/1/1/7","148 TIFF images","Periodical","File","Thai, English","Thai, Latin","1984","Access is for research purposes only"
"8","Mithuna Junior Issue 8 [1984]","

        

                  
            
              
              View images from this file (148)
            
          
              ","EAP128/1/1/8","148 TIFF images","Periodical","File","Thai, English","Thai, Latin","1984","Access is for research purposes only"
"9","Mithuna Junior Issue 9 [1985]","

        

                  
            
              
              View images from this file (148)
            
          
              ","EAP128/1/1/9","148 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"10","Mithuna Junior Issue 10 [1985]","

        

                  
            
              
              View images from this file (150)
            
          
              ","EAP128/1/1/10","148 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"11","Mithuna Junior Issue 11 [1985]","

        

                  
            
              
              View images from this file (148)
            
          
              ","EAP128/1/1/11","152 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"12","Mithuna Junior Issue 12 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/12","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"13","Mithuna Junior Issue 13 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/13","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"14","Mithuna Junior Issue 14 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/14","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"15","Mithuna Junior Issue 15 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/15","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"16","Mithuna Junior Issue 16 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/16","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"17","Mithuna Junior Issue 17 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/17","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"18","Mithuna Junior Issue 18 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/18","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"19","Mithuna Junior Issue 19 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/19","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"20","Mithuna Junior Issue 20 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/20","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"21","Mithuna Junior Issue 21 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/21","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"22","Mithuna Junior Issue 22 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/22","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"23","Mithuna Junior Issue 23 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/23","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"24","Mithuna Junior Issue 24 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/24","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"25","Mithuna Junior Issue 25 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/25","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"26","Mithuna Junior Issue 26 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/26","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"27","Mithuna Junior Issue 27 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/27","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"28","Mithuna Junior Issue 28 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/28","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"29","Mithuna Junior Issue 29 [1985]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/29","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1985","Access is for research purposes only"
"30","Mithuna Junior Issue 30 [1986]","

        

                  
            
              
              View images from this file (73)
            
          
              ","EAP128/1/1/30","74 TIFF images","Periodical","File","Thai, English","Thai, Latin","1986","Access is for research purposes only"
"31","Mithuna Junior Issue 31 [1986]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/31","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1986","Access is for research purposes only"
"32","Mithuna Junior Issue 32 [1986]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/32","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1986","Access is for research purposes only"
"33","Mithuna Junior Issue 33 [1986]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/33","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1986","Access is for research purposes only"
"34","Mithuna Junior Issue 34 [1986]","

        

                  
            
              
              View images from this file (75)
            
          
              ","EAP128/1/1/34","75 TIFF images","Periodical","File","Thai, English","Thai, Latin","1986","Access is for research purposes only"
"35","Mithuna Junior Issue 35 [1986]","

        

                  
            
              
              View images from this file (79)
            
          
              ","EAP128/1/1/35","79 TIFF images","Periodical","File","Thai, English","Thai, Latin","1986","Access is for research purposes only"
"36","""Mithuna Junior Issue 36, no. 3 [1986]""","

        

                  
            
              
              View images from this file (124)
            
          
              ","EAP128/1/1/36","124 TIFF images","Periodical","File","Thai, English","Thai, Latin","1986","Access is for research purposes only"
"37","""Mithuna Junior Issue 37, no. 3 [1986]""","

        

                  
            
              
              View images from this file (124)
            
          
              ","EAP128/1/1/37","124 TIFF images","Periodical","File","Thai, English","Thai, Latin","1986","Access is for research purposes only"
"38","""Mithuna Junior Issue 38, no. 3 [1986]""","

        

                  
            
              
              View images from this file (126)
            
          
              ","EAP128/1/1/38","126 TIFF images","Periodical","File","Thai, English","Thai, Latin","1986","Access is for research purposes only"
"39","""Mithuna Junior Issue 39, no. 3 [1987]""","

        

                  
            
              
              View images from this file (124)
            
          
              ","EAP128/1/1/39","124 TIFF images","Periodical","File","Thai, English","Thai, Latin","1987","Access is for research purposes only"
"40","""Mithuna Junior Issue 40, no. 3 [1986]""","

        

                  
            
              
              View images from this file (124)
            
          
              ","EAP128/1/1/40","124 TIFF images","Periodical","File","Thai, English","Thai, Latin","1986","Access is for research purposes only"
"41","""Mithuna Junior Issue 41, no. 4 [1987]""","

        

                  
            
              
              View images from this file (124)
            
          
              ","EAP128/1/1/41","124 TIFF images","Periodical","File","Thai, English","Thai, Latin","1987","Access is for research purposes only"
"42","""Mithuna Junior Issue 42, no. 4 [1987]""","

        

                  
            
              
              View images from this file (124)
            
          
              ","EAP128/1/1/42","124 TIFF images","Periodical","File","Thai, English","Thai, Latin","1987","Access is for research purposes only"
"43","Mithuna Junior Issue 43 [1987]","

        

                  
            
              
              View images from this file (71)
            
          
              ","EAP128/1/1/43","71 TIFF images","Periodical","File","Thai, English","Thai, Latin","1987","Access is for research purposes only"
"44","Mithuna Junior Issue 44 [1987]","

        

                  
            
              
              View images from this file (71)
            
          
              ","EAP128/1/1/44","71 TIFF images","Periodical","File","Thai, English","Thai, Latin","1987","Access is for research purposes only"
"45","Mithuna Junior Issue 45 [1987]","

        

                  
            
              
              View images from this file (71)
            
          
              ","EAP128/1/1/45","71 TIFF images","Periodical","File","Thai, English","Thai, Latin","1987","Access is for research purposes only"
"46","Mithuna Junior Issue 46 [1987]","

        

                  
            
              
              View images from this file (70)
            
          
              ","EAP128/1/1/46","70 TIFF images","Periodical","File","Thai, English","Thai, Latin","1987","Access is for research purposes only"
"47","Mithuna Junior Issue 47 [1988]","

        

                  
            
              
              View images from this file (71)
            
          
              ","EAP128/1/1/47","71 TIFF images","Periodical","File","Thai, English","Thai, Latin","1988","Access is for research purposes only"
"48","Mithuna Junior Issue 48 [1988]","

        

                  
            
              
              View images from this file (71)
            
          
              ","EAP128/1/1/48","71 TIFF images","Periodical","File","Thai, English","Thai, Latin","1988","Access is for research purposes only"
"49","Mithuna Junior Issue 49 [1988]","

        

                  
            
              
              View images from this file (67)
            
          
              ","EAP128/1/1/49","67 TIFF images","Periodical","File","Thai, English","Thai, Latin","1988","Access is for research purposes only"
"50","""Mithuna Junior Issue 50, no. 5 [1988]""","

        

                  
            
              
              View images from this file (66)
            
          
              ","EAP128/1/1/50","66 TIFF images","Periodical","File","Thai, English","Thai, Latin","1988","Access is for research purposes only"
"51","""Mithuna Junior Issue 51, no. 5 [1988]""","

        

                  
            
              
              View images from this file (66)
            
          
              ","EAP128/1/1/51","66 TIFF images","Periodical","File","Thai, English","Thai, Latin","1988","Access is for research purposes only"
"52","Mithuna Junior Issue 52 [1988]","

        

                  
            
              
              View images from this file (67)
            
          
              ","EAP128/1/1/52","67 TIFF images","Periodical","File","Thai, English","Thai, Latin","1988","Access is for research purposes only"
"53","Mithuna Junior Issue 53 [1988]","

        

                  
            
              
              View images from this file (66)
            
          
              ","EAP128/1/1/53","66 TIFF images, 1 word doc file","Periodical","File","Thai, English","Thai, Latin","1988","Access is for research purposes only"
"54","""Mithuna Junior Issue 54, no. 5 [1988]""","

        

                  
            
              
              View images from this file (67)
            
          
              ","EAP128/1/1/54","67 TIFF images","Periodical","File","Thai, English","Thai, Latin","1988","Access is for research purposes only"
"55","Mithuna Junior Issue 55 [1989]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/55","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1989","Access is for research purposes only"
"56","Mithuna Junior Issue 56 [1990]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/56","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1990","Access is for research purposes only"
"57","Mithuna Junior Issue 57 [1990]","

        

                  
            
              
              View images from this file (67)
            
          
              ","EAP128/1/1/57","67 TIFF images","Periodical","File","Thai, English","Thai, Latin","1990","Access is for research purposes only"
"58","""Mithuna Junior Issue 58, no. 7 [1990]""","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/58","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1990","Access is for research purposes only"
"59","Mithuna Junior Issue 59 [1990]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/59","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1990","Access is for research purposes only"
"60","""Mithuna Junior Issue 60, no. 8 [1990]""","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/60","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1990","Access is for research purposes only"
"61","Mithuna Junior Issue 61 [1991]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/61","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1991","Access is for research purposes only"
"62","""Mithuna Junior Issue 62, no. 8 [1991]""","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/62","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1991","Access is for research purposes only"
"63","Mithuna Junior Issue 63 [1991]","

        

                  
            
              
              View images from this file (62)
            
          
              ","EAP128/1/1/63","63 TIFF images, 1 word doc file","Periodical","File","Thai, English","Thai, Latin","1991","Access is for research purposes only"
"64","Mithuna Junior Issue 64 [1991]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/64","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1991","Access is for research purposes only"
"65","Mithuna Junior Issue 65 [1991]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/65","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1991","Access is for research purposes only"
"66","Mithuna Junior Issue 66 [1991]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/66","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1991","Access is for research purposes only"
"67","Mithuna Junior Issue 67 [1992]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/67","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1992","Access is for research purposes only"
"68","Mithuna Junior Issue 68 [1992]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/68","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1992","Access is for research purposes only"
"69","Mithuna Junior Issue 69 [1992]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/69","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1992","Access is for research purposes only"
"70","Mithuna Junior Issue 70 [1992]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/70","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1992","Access is for research purposes only"
"71","Mithuna Junior Issue 71 [1992]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/71","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1992","Access is for research purposes only"
"72","Mithuna Junior Issue 72 [1992]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/72","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1992","Access is for research purposes only"
"73","Mithuna Junior Issue 73 [1993]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/73","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1993","Access is for research purposes only"
"74","Mithuna Junior Issue 74 [1993]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/74","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1993","Access is for research purposes only"
"75","Mithuna Junior Issue 75 [1993]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/75","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1993","Access is for research purposes only"
"76","Mithuna Junior Issue 76 [1993]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/76","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1993","Access is for research purposes only"
"77","Mithuna Junior Issue 77 [1993]","

        

                  
            
              
              View images from this file (63)
            
          
              ","EAP128/1/1/77","63 TIFF images","Periodical","File","Thai, English","Thai, Latin","1993","Access is for research purposes only"
"78","""Mithuna Junior Issue 78, no. 10 [1993]""","

        

                  
            
              
              View images from this file (65)
            
          
              ","EAP128/1/1/78","65 TIFF images","Periodical","File","Thai, English","Thai, Latin","1993","Access is for research purposes only"
