"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","Chadaṅgu [17th century]","

        Subject of Manuscript: Ritual.

                  
            
              
              View images from this file (289)
            
          
              ","EAP584/1/1","289 Tiff images","Manuscript","File","Sanskrit","Malayalam","17th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP584/EAP584_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Adhyātmyaramāyaṇa [16th century]","

        Subject of Manuscript: Epic.

                  
            
              
              View images from this file (249)
            
          
              ","EAP584/1/2","249 Tiff images","Manuscript","File","Sanskrit","Malayalam","16th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP584/EAP584_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","Nārāyaṇīyaṃ [16th century]","

        Subject of Manuscript: Literature.

                  
            
              
              View images from this file (271)
            
          
              ","EAP584/1/3","271 Tiff images","Manuscript","File","Sanskrit","Malayalam","16th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP584/EAP584_1_3/1.jp2/full/!600,300/0/default.jpg"
"4","Chadaṅgu [16th century]","

        Subject of Manuscript: Ritual.

                  
            
              
              View images from this file (526)
            
          
              ","EAP584/1/4","527 Tiff images","Manuscript","File","Sanskrit","Malayalam","16th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP584/EAP584_1_4/1.jp2/full/!600,300/0/default.jpg"
"5","Aśaucadīpīkā [16th century]","

        Subject of Manuscript: Vedik Rituals.

                  
            
              
              View images from this file (594)
            
          
              ","EAP584/1/5","594 Tiff images","Manuscript","File","Sanskrit","Malayalam","16th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP584/EAP584_1_5/1.jp2/full/!600,300/0/default.jpg"
"6","Yajurvedaṃ [16th century]","

        Subject of Manuscript: Vedas.

                  
            
              
              View images from this file (191)
            
          
              ","EAP584/1/6","191 Tiff images","Manuscript","File","Sanskrit","Malayalam","16th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP584/EAP584_1_6/1.jp2/full/!600,300/0/default.jpg"
"7","Prāyaścittaṃ [16th century]","

        Subject of Manuscript: Jurisprudence.

                  
            
              
              View images from this file (195)
            
          
              ","EAP584/1/7","195 Tiff images","Manuscript","File","Sanskrit","Malayalam","16th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP584/EAP584_1_7/1.jp2/full/!600,300/0/default.jpg"
"8","Devimāhātmya [16th century]","

        Subject of Manuscript: Literature.

                  
            
              
              View images from this file (135)
            
          
              ","EAP584/1/8","135 Tiff images","Manuscript","File","Sanskrit","Malayalam","16th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP584/EAP584_1_8/1.jp2/full/!600,300/0/default.jpg"
"9","Chadaṅgu [16th century]","

        Subject of Manuscript: Ritual.

                  
            
              
              View images from this file (455)
            
          
              ","EAP584/1/9","455 Tiff images","Manuscript","File","Sanskrit","Malayalam","16th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP584/EAP584_1_9/1.jp2/full/!600,300/0/default.jpg"
"10","Chadaṅgu [16th century]","

        Subject of Manuscript: Ritual.

                  
            
              
              View images from this file (152)
            
          
              ","EAP584/1/10","152 Tiff images","Manuscript","File","Sanskrit","Malayalam","16th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP584/EAP584_1_10/1.jp2/full/!600,300/0/default.jpg"
