"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"1","zheng qi gang yao [19th century]","

        Digital images of zheng qi gang yao, a fundamental text for Shui priests containing general principles on achieving good fortune and avoiding bad spirits. Date: 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (17)
            
          
              ","EAP143/1/1/1","1 file","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"2","xiong shen zhi ge [early 20th century]","

        Digital images of xiong shen zhi ge, a Chinese edition of sutra used to drive away demons who cause people ill. Date: early 20th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (9)
            
          
              ","EAP143/1/1/2","1 file","Manuscript","File","Sui","Shuishu, Sui","early 20th century","Access is for research purposes only."
"3","sang zang ze ri shu [19th century]","

        Digital images of sang zang ze ri shu, a book used in funerals. Date: 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (24)
            
          
              ","EAP143/1/1/3","1 file","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"4","lan men yong shu [19th century]","

        Digital images of lan men yong shu, a sutra used to keep demons out of doors; it is classified as a ""black book"". Date: 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (27)
            
          
              ","EAP143/1/1/4","1 file","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"5","shi er nian zhan ji xiong [19th century]","

        Digital images of shi er nian zhan ji xiong, a book on picking auspicious dates for funerals. Date: 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (25)
            
          
              ","EAP143/1/1/5","1 file","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"6","tan ju juan [1817]","

        Digital images of tan ju juan, a book on astrology. Date: 1817. Author / scribe: Unknown.

                  
            
              
              View images from this file (21)
            
          
              ","EAP143/1/1/6","1 file","Manuscript","File","Sui","Shuishu, Sui","1817","Access is for research purposes only."
"7","sang zang ze ri shu [19th century]","

        Digital images of sang zang ze ri shu, a book on picking auspicious dates for funerals. Date: 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (9)
            
          
              ","EAP143/1/1/7","1 file","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"8","zong he ze ji shu [20th century]","

        Digital images of zong he ze ji shu, a book on picking auspicious dates for various purposes. Date: 20th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (14)
            
          
              ","EAP143/1/1/8","1 file","Manuscript","File","Sui","Shuishu, Sui","20th century","Access is for research purposes only."
"9","zong he ze ji shu [19th century]","

        Digital images of zong he ze ji shu, a book on picking auspicious dates for various purposes. Date: 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (24)
            
          
              ","EAP143/1/1/9","1 file","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"10","zong he ze ji shu [early 20th century]","

        Digital images of zong he ze ji shu, a book on picking auspicious dates for various purposes. Date: early 20th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (9)
            
          
              ","EAP143/1/1/10","1 file","Manuscript","File","Sui","Shuishu, Sui","early 20th century","Access is for research purposes only."
"11","sang zang ze ri shu [19th century]","

        Digital images of sang zang ze ri shu, a book on picking auspicious dates for funerals. Date: 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (31)
            
          
              ","EAP143/1/1/11","1 file","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"12","lan men zhuo gui fang gui [19th century]","

        Digital images of lan men zhuo gui fang gui, a book on how to capture and release demons; it is identified as a ""black book"", meaning containing secret, sometimes harmful, knowledge. Date: 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (22)
            
          
              ","EAP143/1/1/12","1 file","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"13","sang zang ze ri shu [19th century]","

        Digital images of sang zang ze ri shu, a book on picking dates for funerals . Date: 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (14)
            
          
              ","EAP143/1/1/13","1 file","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"14","sang zang ze ri shu [19th century]","

        Digital images of sang zang ze ri shu, a book on picking dates for funerals . Date: 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (9)
            
          
              ","EAP143/1/1/14","1 file","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"15","zong he ze ji shu [early 20th century]","

        Digital images of zong he ze ji shu, a book on picking auspicious dates for various purposes. Date: early 20th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (14)
            
          
              ","EAP143/1/1/15","1 file","Manuscript","File","Sui","Shuishu, Sui","early 20th century","Access is for research purposes only."
"16","ang zang hun jia zong he zhan bu shu [late 19th century]","

        Digital images of ang zang hun jia zong he zhan bu shu, a book on predicting fortunes concerning marriage, burials and other issues. Date: late 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (22)
            
          
              ","EAP143/1/1/16","1 file","Manuscript","File","Sui","Shuishu, Sui","Late 19th century","Access is for research purposes only."
"17","zong he ze ji shu [late 19th century]","

        Digital images of zong he ze ji shu, a book on choosing dates for various purposes. Date: late 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (15)
            
          
              ","EAP143/1/1/17","1 file","Manuscript","File","Sui","Shuishu, Sui","Late 19th century","Access is for research purposes only."
"18","qi zao ze ji shu [early 20th century]","

        Digital images of qi zao ze ji shu, a book on picking auspicious dates to erect new houses, and to deal with various possible harms on both residents or fowls. Date: early 20th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (18)
            
          
              ","EAP143/1/1/18","1 file","Manuscript","File","Sui","Shuishu, Sui","early 20th century","Access is for research purposes only."
"19","xing xiang ze ri shu [19th century]","

        Digital images of xing xiang ze ri shu, a book on picking auspicious dates by astrology. Date: 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (10)
            
          
              ","EAP143/1/1/19","1 file","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"20","tong shu [20th century]","

        Digital images of tong shu, a Shui almanac. Date: 20th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (10)
            
          
              ","EAP143/1/1/20","1 file","Manuscript","File","Sui","Shuishu, Sui","20th century","Access is for research purposes only."
"21","sang zang ze ji shu [19th century]","

        Digital images of sang zang ze ji shu, a book on picking auspicious dates for funerals . Date: 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (5)
            
          
              ","EAP143/1/1/21","1 file","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"22","zong he zhan bu shu [19th century]","

        Digital images of zong he zhan bu shu, a book on predicting fortunes in various directions and times. Date: 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (16)
            
          
              ","EAP143/1/1/22","1 file","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"23","zhuo gui fang gui [late 19th century]","

        Digital images of zhuo gui fang gui, a book on capturing and releasing demons; it is in the category of ""black witchcraft"". Date: late 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (12)
            
          
              ","EAP143/1/1/23","1 file","Manuscript","File","Sui","Shuishu, Sui","Late 19th century","Access is for research purposes only."
"24","zong he ze ji shu [19th century]","

        Digital images of zong he ze ji shu, a book on picking auspicious dates for various purposes. Date: 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (11)
            
          
              ","EAP143/1/1/24","1 file","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"25","zhan bu shu [20th century]","

        Digital images of zhan bu shu, a book on predicting on various subjects. Date: 20th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (6)
            
          
              ","EAP143/1/1/25","1 file","Manuscript","File","Sui","Shuishu, Sui","20th century","Access is for research purposes only."
"26","sang zang ze ji shu [19th century]","

        Digital images of sang zang ze ji shu, a book on picking auspicious dates for funerals. Date: 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (13)
            
          
              ","EAP143/1/1/26","1 file","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"27","sang zang ze ji shu [19th century]","

        Digital images of sang zang ze ji shu, a book on picking auspicious dates for funerals . Date: 19th century. Author / scribe: Unknown.

                  
            
              
              View images from this file (11)
            
          
              ","EAP143/1/1/27","1 file","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
