"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","Songs/Poems - Palm leaf 1","        This file contains 1 palm leaf bundle. It contains poems written on the fight between Siva and his consort Parvati. Dates of original material: Not given. Extent and format of original material: One palm leaf bundle of 20 palm leaves, one handwritten paper note. Hight 3cm\ Width 37cm.                                                          View images from this file (44)                                    ","EAP689/1/1/1","44 TIFF images","Manuscript","File","Tamil","Tamil","1650-1950","Access is for research purposes only.","https://images.eap.bl.uk/EAP689/EAP689_1_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Songs/Poems - Palm leaf 2","        This file contains 1 palm leaf bundle. It contains mantiram (magical incantations) and yantiram (diagrams for magical incantations) of different deites, medicinal recipies for animal. Dates of original material: Not given. Extent and format of original material: One palm leaf bundle of 62 palm leaves, one handwritten paper note. Hight 3cm\ Width 24cm.                                                          View images from this file (128)                                    ","EAP689/1/1/2","128 TIFF images","Manuscript","File","Tamil","Tamil","1650-1950","Access is for research purposes only.","https://images.eap.bl.uk/EAP689/EAP689_1_1_2/45.jp2/full/!600,300/0/default.jpg"
"3","Songs/Poems - Palm leaf 3","        This file contains 1 palm leaf bundle. It contains songs to Periyanayaki Amman Unjal. Dates of original material: Tarana\ Karthikai\. Extent and format of original material: One palm leaf bundle of 6 palm leaves, one handwritten paper note. Hight 2.5cm\ Width 29cm.                                                          View images from this file (16)                                    ","EAP689/1/1/3","16 TIFF images","Manuscript","File","Tamil","Tamil","1650-1950","Access is for research purposes only.","https://images.eap.bl.uk/EAP689/EAP689_1_1_3/173.jp2/full/!600,300/0/default.jpg"
"4","Songs/Poems - Palm leaf 4","        This file contains 1 palm leaf bundle. It contains folk songs for deities and drama poetry: Periyanayaki Amman Unjal song, Pangkan Tirappu Viruttam, Eshdamanavarkal Peril, Appamesuparam, Kannima Mutalirayan Mun Madapam Kudakavi. Dates of original material: Not given. Extent and format of original material: One palm leaf bundle of 71 palm leaves, one handwritten paper note. Hight 3cm\ Width 38cm.                                                          View images from this file (146)                                    ","EAP689/1/1/4","146 TIFF images","Manuscript","File","Tamil","Tamil","1650-1950","Access is for research purposes only.","https://images.eap.bl.uk/EAP689/EAP689_1_1_4/189.jp2/full/!600,300/0/default.jpg"
"5","Songs/Poems - Palm leaf 5","        This file contains 1 palm leaf bundle. It contains a poem of Parali Virali Vidu Tutu. Dates of original material: Not given. Extent and format of original material: One palm leaf bundle of 63 palm leaves, one handwritten paper note. Hight 3cm\ Width 39cm.                                                          View images from this file (130)                                    ","EAP689/1/1/5","130 TIFF images","Manuscript","File","Tamil","Tamil","1650-1950","Access is for research purposes only.","https://images.eap.bl.uk/EAP689/EAP689_1_1_5/335.jp2/full/!600,300/0/default.jpg"
"6","Songs/Poems - Palm leaf 6","        This file contains 1 palm leaf bundle. It contains Venaudayan Nadaka Varalaru. Dates of original material: Not given. Extent and format of original material: One palm leaf bundle of 27 palm leaves, one handwritten paper note. Hight 3.5cm\ Width 32cm.                                                          View images from this file (58)                                    ","EAP689/1/1/6","58 TIFF images","Manuscript","File","Tamil","Tamil","1650-1950","Access is for research purposes only.","https://images.eap.bl.uk/EAP689/EAP689_1_1_6/465.jp2/full/!600,300/0/default.jpg"
"7","Songs/Poems - Palm leaf 7","        This file contains 1 palm leaf bundle. It contains songs in praise of Mutu Tirumalai Gounder of Vellodu. The songs are in the Kuravanji genre. Dates of original material: Not given. Extent and format of original material: One palm leaf bundle of 64 palm leaves, one handwritten paper note. Hight 2.5cm\ Width 33cm.                                                          View images from this file (132)                                    ","EAP689/1/1/7","132 TIFF images","Manuscript","File","Tamil","Tamil","1650-1950","Access is for research purposes only.","https://images.eap.bl.uk/EAP689/EAP689_1_1_7/523.jp2/full/!600,300/0/default.jpg"
"8","Songs/Poems - Palm leaf 8","        This file contains 1 palm leaf bundle. It contains praises of gods (Aruka Paramesvaran, Viruma Tevan, Kuperan, Deventiran, Putan Tevan), praises to zodiac signs and praises of Dakshinamurthy. Dates of original material: Not given. Extent and format of original material: One palm leaf bundle of 23 palm leaves, one handwritten paper note. Hight 3cm\ Width 36cm.                                                          View images from this file (50)                                    ","EAP689/1/1/8","50 TIFF images","Manuscript","File","Tamil","Tamil","1650-1950","Access is for research purposes only.","https://images.eap.bl.uk/EAP689/EAP689_1_1_8/655.jp2/full/!600,300/0/default.jpg"
"9","Songs/Poems - Palm leaf 9","        This file contains 1 palm leaf bundle. It contains a songs to the twelve villages gods. Dates of original material: Not given. Extent and format of original material: One bundle of palm leaf of 7 palm leaves, one handwritten paper note. Hight 2.5cm\ Width 32cm.                                                          View images from this file (16)                                    ","EAP689/1/1/9","16 TIFF images","Manuscript","File","Tamil","Tamil","1650-1950","Access is for research purposes only.","https://images.eap.bl.uk/EAP689/EAP689_1_1_9/705.jp2/full/!600,300/0/default.jpg"
"10","Songs/Poems - Palm leaf 10","        This file contains 1 palm leaf bundle. It contains a 'Kongu Mandala Satagam', which describes the 24 divisions of the Kongu territory. Dates of original material: Not given. Extent and format of original material: One palm leaf bundle of 73 palm leaves, one handwritten paper note. Hight 3cm\ Width 34cm.                                                          View images from this file (150)                                    ","EAP689/1/1/10","150 TIFF images","Manuscript","File","Tamil","Tamil","1650-1950","Access is for research purposes only.","https://images.eap.bl.uk/EAP689/EAP689_1_1_10/721.jp2/full/!600,300/0/default.jpg"
