"","final.image.url","image.name"
"62","https://images.eap.bl.uk/EAP727/EAP727_1_6/23.jp2/info.json","EAP727_1_6/23"
"63","https://images.eap.bl.uk/EAP727/EAP727_1_6/24.jp2/info.json","EAP727_1_6/24"
"64","https://images.eap.bl.uk/EAP727/EAP727_1_6/25.jp2/info.json","EAP727_1_6/25"
"65","https://images.eap.bl.uk/EAP727/EAP727_1_6/26.jp2/info.json","EAP727_1_6/26"
"66","https://images.eap.bl.uk/EAP727/EAP727_1_6/27.jp2/info.json","EAP727_1_6/27"
"67","https://images.eap.bl.uk/EAP727/EAP727_1_6/28.jp2/info.json","EAP727_1_6/28"
"68","https://images.eap.bl.uk/EAP727/EAP727_1_6/29.jp2/info.json","EAP727_1_6/29"
"69","https://images.eap.bl.uk/EAP727/EAP727_1_7/1.jp2/info.json","EAP727_1_7/1"
"70","https://images.eap.bl.uk/EAP727/EAP727_1_7/2.jp2/info.json","EAP727_1_7/2"
"71","https://images.eap.bl.uk/EAP727/EAP727_1_7/3.jp2/info.json","EAP727_1_7/3"
"72","https://images.eap.bl.uk/EAP727/EAP727_1_7/4.jp2/info.json","EAP727_1_7/4"
"73","https://images.eap.bl.uk/EAP727/EAP727_1_7/5.jp2/info.json","EAP727_1_7/5"
"74","https://images.eap.bl.uk/EAP727/EAP727_1_7/6.jp2/info.json","EAP727_1_7/6"
"75","https://images.eap.bl.uk/EAP727/EAP727_1_7/7.jp2/info.json","EAP727_1_7/7"
"76","https://images.eap.bl.uk/EAP727/EAP727_1_7/8.jp2/info.json","EAP727_1_7/8"
"77","https://images.eap.bl.uk/EAP727/EAP727_1_8/1.jp2/info.json","EAP727_1_8/1"
"78","https://images.eap.bl.uk/EAP727/EAP727_1_8/2.jp2/info.json","EAP727_1_8/2"
"79","https://images.eap.bl.uk/EAP727/EAP727_1_8/3.jp2/info.json","EAP727_1_8/3"
"80","https://images.eap.bl.uk/EAP727/EAP727_1_8/4.jp2/info.json","EAP727_1_8/4"
"81","https://images.eap.bl.uk/EAP727/EAP727_1_8/5.jp2/info.json","EAP727_1_8/5"
"82","https://images.eap.bl.uk/EAP727/EAP727_1_8/6.jp2/info.json","EAP727_1_8/6"
"83","https://images.eap.bl.uk/EAP727/EAP727_1_8/7.jp2/info.json","EAP727_1_8/7"
"84","https://images.eap.bl.uk/EAP727/EAP727_1_8/8.jp2/info.json","EAP727_1_8/8"
"85","https://images.eap.bl.uk/EAP727/EAP727_1_8/9.jp2/info.json","EAP727_1_8/9"
"86","https://images.eap.bl.uk/EAP727/EAP727_1_8/10.jp2/info.json","EAP727_1_8/10"
"87","https://images.eap.bl.uk/EAP727/EAP727_1_8/11.jp2/info.json","EAP727_1_8/11"
"88","https://images.eap.bl.uk/EAP727/EAP727_1_8/12.jp2/info.json","EAP727_1_8/12"
"89","https://images.eap.bl.uk/EAP727/EAP727_1_8/13.jp2/info.json","EAP727_1_8/13"
"90","https://images.eap.bl.uk/EAP727/EAP727_1_8/14.jp2/info.json","EAP727_1_8/14"
"91","https://images.eap.bl.uk/EAP727/EAP727_1_8/15.jp2/info.json","EAP727_1_8/15"
"92","https://images.eap.bl.uk/EAP727/EAP727_1_8/16.jp2/info.json","EAP727_1_8/16"
"93","https://images.eap.bl.uk/EAP727/EAP727_1_8/17.jp2/info.json","EAP727_1_8/17"
"94","https://images.eap.bl.uk/EAP727/EAP727_1_8/18.jp2/info.json","EAP727_1_8/18"
"95","https://images.eap.bl.uk/EAP727/EAP727_1_9/1.jp2/info.json","EAP727_1_9/1"
"96","https://images.eap.bl.uk/EAP727/EAP727_1_9/2.jp2/info.json","EAP727_1_9/2"
"97","https://images.eap.bl.uk/EAP727/EAP727_1_9/3.jp2/info.json","EAP727_1_9/3"
"98","https://images.eap.bl.uk/EAP727/EAP727_1_9/4.jp2/info.json","EAP727_1_9/4"
"99","https://images.eap.bl.uk/EAP727/EAP727_1_9/5.jp2/info.json","EAP727_1_9/5"
"100","https://images.eap.bl.uk/EAP727/EAP727_1_9/6.jp2/info.json","EAP727_1_9/6"
