"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","Yuanmou dong jing yin yue. 1990s","        Digital images of Dongjing music scores from Yuanmou County. The transcript was made by the Chuxiong Museum in the 1990s. The scores are written in jianpu notation.                                                          View images from this file (59)                                    ","EAP012/1/1/1","59 TIFF images","Score","File","Chinese","Han (Traditional)","1990s","Access is for research purposes only","https://images.eap.bl.uk/EAP012/EAP012_1_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Heijing dong jing yin yue. 1991","        Digital images of Dongjing music scores from the Heijing Dongjing Society. The transcripts were written in 1991. There is a written introduction and contents list attached with the scores; scores are written in jianpu notation.                                                          View images from this file (231)                                    ","EAP012/1/1/2","231 TIFF images","Score","File","Chinese","Han (Traditional)","1991","Access is for research purposes only","https://images.eap.bl.uk/EAP012/EAP012_1_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","Lufeng xian Jinshan zhen Dabeichang dong jing yin yue. 1993-2004","        Digital images of Dongjing music scores from Dabeichang village, Jinshan town of Lufeng county. Created between 1993 and 2004 by the Dabeichang Dongjing Society and Lufeng County Council. The scores are written in jianpu notation.                                                          View images from this file (61)                                    ","EAP012/1/1/3","61 TIFF images","Score","File","Chinese","Han (Traditional)","1993-2004","Access is for research purposes only","https://images.eap.bl.uk/EAP012/EAP012_1_1_3/1.jp2/full/!600,300/0/default.jpg"
"4","Nanhua longchuan zhen li yue dui. 1990s","        Digital images of Dongjing music scores used by the Dongjing band of Longchuan, Nanhua County. They were created by the Chuxiong Museum in the 1990s. There is a written introduction attached to the scores, which are written in jianpu notation.                                                          View images from this file (95)                                    ","EAP012/1/1/4","95 TIFF images","Score","File","Chinese","Han (Traditional)","1990s","Access is for research purposes only","https://images.eap.bl.uk/EAP012/EAP012_1_1_4/1.jp2/full/!600,300/0/default.jpg"
"5","Wuding Maojie dong jing. 1990s","        Digital images of Dongjing music scores from Maojie, Wuding County. Created by the Chuxiong Museum in the 1990s. There is a handwritten introduction to the music, and the scores themselves are mimeograph copies, in jianpu notation.                                                          View images from this file (14)                                    ","EAP012/1/1/5","14 TIFF images","Score","File","Chinese","Han (Traditional)","1990s","Access is for research purposes only","https://images.eap.bl.uk/EAP012/EAP012_1_1_5/1.jp2/full/!600,300/0/default.jpg"
"6","Dayao min jian yin yue. 1979-2004","        Digital images of mimeograph copies of folk music scores from Dayao County, created by Yirong Xi, Kaichao Wang and other Dongjing enthusiasts between 1979 and 2004. The scores are written in jianpu notation.                                                          View images from this file (206)                                    ","EAP012/1/1/6","206 TIFF images","Score","File","Chinese","Han (Traditional)","1979-2004","Access is for research purposes only","https://images.eap.bl.uk/EAP012/EAP012_1_1_6/1.jp2/full/!600,300/0/default.jpg"
"7","Chuxiong Luhe shi Baitu zhen ban shi chu ji pu. 1990s","        Digital images of Dongjing music scores from Luhe, Chuxiong County. Created by the Chuxiong Museum in the 1990s, written in jianpu notation.                                                          View images from this file (10)                                    ","EAP012/1/1/7","10 TIFF images","Score","File","Chinese","Han (Traditional)","1990s","Access is for research purposes only","https://images.eap.bl.uk/EAP012/EAP012_1_1_7/1.jp2/full/!600,300/0/default.jpg"
"8","Chuxiong dong jing yin yue","        Digital reproduction of a recording of a Dongjing society in Chuxiong in ? 2002, created by the Chuxiong Museum. The original recording was made on cassette, tracklist to follow: A1 Dazan - 04:20; A2 Shanpoyang - 03:52; A3 Shuangfeiyan - 04:42; A4 Daotuochaun - 03:22; A5 Xuanwenzhou - 03:13; A6 Jingshantian - 02:38; A7 Xiaotachong - 02:23; A8 Hai - 03:55; A9 Haiqiang - 03:48; A10 Nafengge - 03:29; A11 Lanhuamei - 05:05; A12 Dazhegu - 03:00; B1 Sandielang - 04:59; B2 Dasanhua -03:54; B3 Xianjiayue - 06:12; B4 Yijiangfeng - 04:00; B5 Jingua - 05:24; B6 Xaingzan - 08:25; B7 Ganzhouge - 03:31; B8 Nanqinggong - 02:31; B9 Qinghesong - 05:39. The language is Yunnan dialect Chinese.              ","EAP012/1/2/1","21 MP3 files, 88 minutes 22 seconds in length","NA","File","Chinese","NA","2005-2007","Access is for research purposes only","NA"
"9","Heijing dong jing yin yue [1990-2000]","        Digital reproduction of a recording of Dongjing music during fieldwork in 1990-2000; 97 chapters in total. Recorded by Daohong Yi, Su Yan and Chaozhen Li. The original recordings were made on cassette, tracklist to follow: Performance 1: Track 1 - 05:08; Track 2 - 02:47; Track 3 - 01:45; Track 4 - 01:26; Track 5 - 02:10; Track 6 - 01:10; Track 7 - 00:09; track 8 - 01:06; Track 9 - 01:06; Track 10 - 01:15; Track 11 -01:07; Track 12 - 01:59; Track 13 - 02:57; Track 14 - 01:11; Track 15 - 02:16; Track 16 - 02:07; Track 17 - 03:43; Track 18 - 02:22; Track 19 -04:00; Track 20 - 04:46; Track 21 - 03:16; Track 22 -02:53. Performance 2: Track 1 - 01:47; Track 2 - 01:34; Track 3 - 01:31; Track 4 - 01:01; Track 5 - 01:30; Track 6 - 01:50; Track 7 - 01:34; Track 8 - 04:24; Track 9 - 01:55; Track 10 - 01:52; track 11 -03:54; Track 12 - 02:58; Track 13 - 03:19; Track 14 - 04:19; Track 15 - 05:13 (warped?); Track 16 - 04:46 (warped?); Track 17 - 01:44; track 18 - 02:48; Track 19 - 03:19; track 20 - 01:49; track 21 -01:34; track 22 - 01:30; track 23 - 01:00; track 24 - 01:27; track 25 - 01:42; track 26 - 01:37; track 27 - 04:27; track 28 - 03:43; track 29 - 03:55; track 30 - 02:56. Performance 3: Track 1 - 02:06; Track 2 - 03:09; Track 3 - 02:05; Track 4 - 04:18; Track 5 - 03:51; Track 6 - 03:36; Track 7 - 01:58; Track 8 - 02:36; track 9 - 03:12; Track 10 - 01:57; Track 11 - 02:09; Track 12 - 01:22; Track 13 - 00:38. Performance 4: Track 1 - 02:49; track 2 - 02:40; track 3 - 02:51; track 4 - 02:53; track 5 - 03:07; track 6 - 02:19; track 7 - 02:13; track 8 - 03:07; track 9 - 07:17; track 10 - 04:34; track 11 - 01:46; track 12 - 14:51; track 13 - 03:38; track 14 - 05:25; track 15 - 04:43; track 16 - 01:18. Performance 5: track 1 - 01:05; track 2 - 02:11; track 3 - 01:13; track 4 - 00:51; track 5 - 02:43; track 6 - 01:43; track 7 - 01:25; track 8 - 02:09; track 9 - 01:15; track 10 - 01:07; track 11 - 01:07; track 12 - 01:16; track 13 - 01:07; track 14 - 02:00; track 15 - 02:56; track 16 - 03:43; track 17 - 03:31. Performances are conducted in Yunnan dialect Chinese.              ","EAP012/1/2/2","97 MP3 files, 250 minutes in length","NA","File","Chinese","NA","2005-2007","Access is for research purposes only","NA"
"10","Wang Yingke dong jing chang duan [1998-2000]","        Digital reproduction of a series of recordings of the famous Dongjing master Wang Yingke. Recorded by Daohong Yi, Su Yan and Chaozhen Li during fieldwork conducted 1998-2000; 103 tracks in total. Performance 1: track 1 - 00:06; track 2 - 06:49; track 3 - 05:03; track 4 - 03:04; track 5 - 01:03; track 6 - 01:03; track 7 - 03:08; track 8 - 01:35; track 9 - 00:51; track 10 - 01:42; track 11 - 01:47; track 12 - 03:13; track 13 - 02:50; track 14 - 00:22. Performance 2: track 1 - 03:14; track 2 - 01:49; track 3 - 04:55; track 4 - 03:20; track 5 - 03:33; track 6 - 01:23; track 7 - 01:36; track 8 - 06:01; track 9 - 03:19; track 10 - 02:20; track 11 - 00:06; track 12 - 02:08; track 13 - 01:55; track 14 - 01:04; track 15 - 02:58; track 16 - 01:35; track 17 - 00:51; track 18 - 01:41; track 19 - 01:51; track 20 - 03:19; track 21 - 02:53 (warped?); track 22 - 02:05; track 23 - 03:40; track 24 - 02:28; track 25 - 02:30; track 26 - 01:32. Performance 3: track 1 - 02:44; track 2 - 02:36; track 3 - 02:38; track 4 - 01:35; track 5 - 03:29; track 6 - 01:53; track 7 - 05:08; track 8 - 03:38; track 9 - 05:27; track 10 - 03:26; track 11 - 00:22; track 12 - 02:23; track 13 - 03:29; track 14 - 02:33; track 15 - 03:14; track 16 - 02:59; track 17 - 02:26; track 18 - 01:37; track 19 - 01:20; track 20 - 07:26; track 21 - 02:58; track 22 - 02:20; track 23 - 00:18. Performance 4: track 1 - 05:12; track 2 - 01:47; track 3 - 00:53; track 4 - 01:57; track 5 - 01:52; track 6 - 02:12; track 7 - 01:52; track 8 - 01:35; track 9 - 01:25; track 10 - 02:43; track 11 - 04:35; track 12 - 01:51; track 13 - 04:31; track 15 - 02:01; track 16 -05:14; track 17 - 02:18; track 18 - 02:06; track 19 - 01:15; track 20 - 03:11; track 21 - 01:40; track 22 - 00:52; track 23 - 01:43; track 24 - 01:54; track 25 - 03:25; track 26 - 02:53 (warped?); track 27 - 05:18; track 28 - 01:50; track 29 - 00:56; track 30 - 01:56; track 31 - 01:54; track 32 - 02:12; track 33 - 01:54; track 34 - 01:36; track 35 - 01:28; track 36 -02:41; track 37 - 01:44; track 38 - 02:05; track 39 - 01:00; track 40 - 01:53. Performances are conducted in Chinese Yunnan dialect.              ","EAP012/1/2/3","103 MP3 files, 271 minutes in total","NA","File","Chinese","NA","2005-2007","Access is for research purposes only","NA"
