"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","Odeon Marathi June 1932 catalogue","                                                                  View images from this file (26)                                    ","EAP468/1/1/1","26 Tiff images","Pamphlet","File","English, Gujarati, Hindi, Marathi","Latin, Devanagari, Tamil, Telugu, Kannada","1932","Access is for research purposes only.","https://images.eap.bl.uk/EAP468/EAP468_1_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Odeon Marathi April 1935 catalogue","        Includes photographs of performers.                                                          View images from this file (20)                                    ","EAP468/1/1/2","20 Tiff images","Pamphlet","File","English, Gujarati, Hindi, Marathi","Latin, Devanagari, Tamil, Telugu, Kannada","1935","Access is for research purposes only.","https://images.eap.bl.uk/EAP468/EAP468_1_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","Odeon Gujrahti July 1935 catalogue","        Includes photographs of performers.                                                          View images from this file (30)                                    ","EAP468/1/1/3","30 Tiff images","Pamphlet","File","English, Gujarati, Hindi, Marathi","Latin, Devanagari, Tamil, Telugu, Kannada","1935","Access is for research purposes only.","https://images.eap.bl.uk/EAP468/EAP468_1_1_3/1.jp2/full/!600,300/0/default.jpg"
"4","Odeon Marathi Advertisements 1936-38","        Includes photographs of performers.                                                          View images from this file (62)                                    ","EAP468/1/1/4","62 Tiff images","Pamphlet","File","English, Gujarati, Hindi, Marathi","Latin, Devanagari, Tamil, Telugu, Kannada","1936","Access is for research purposes only.","https://images.eap.bl.uk/EAP468/EAP468_1_1_4/1.jp2/full/!600,300/0/default.jpg"
"5","Odeon Marathi c.1936 catalogue","        Includes photographs of performers.                                                          View images from this file (24)                                    ","EAP468/1/1/5","24 Tiff images","Pamphlet","File","English, Gujarati, Hindi, Marathi","Latin, Devanagari, Tamil, Telugu, Kannada","1936","Access is for research purposes only.","https://images.eap.bl.uk/EAP468/EAP468_1_1_5/19.jp2/full/!600,300/0/default.jpg"
"6","Odeon Marathi April 1937 catalogue","        Includes photographs of performers.                                                          View images from this file (32)                                    ","EAP468/1/1/6","32 Tiff images","Pamphlet","File","English, Gujarati, Hindi, Marathi","Latin, Devanagari, Tamil, Telugu, Kannada","1937","Access is for research purposes only.","https://images.eap.bl.uk/EAP468/EAP468_1_1_6/1.jp2/full/!600,300/0/default.jpg"
"7","Odeon Marathi May 1937 catalogue","        Includes photographs of performers.                                                          View images from this file (32)                                    ","EAP468/1/1/7","32 Tiff images","Pamphlet","File","English, Gujarati, Hindi, Marathi","Latin, Devanagari, Tamil, Telugu, Kannada","1937","Access is for research purposes only.","https://images.eap.bl.uk/EAP468/EAP468_1_1_7/1.jp2/full/!600,300/0/default.jpg"
"8","Odeon Marathi August 1937 catalogue","        Includes photographs of performers.                                                          View images from this file (12)                                    ","EAP468/1/1/8","12 Tiff images","Pamphlet","File","English, Gujarati, Hindi, Marathi","Latin, Devanagari, Tamil, Telugu, Kannada","1937","Access is for research purposes only.","https://images.eap.bl.uk/EAP468/EAP468_1_1_8/1.jp2/full/!600,300/0/default.jpg"
"9","Odeon South Indian 1940 advertisements","                                                                  View images from this file (10)                                    ","EAP468/1/2/1","10 Tiff images","Pamphlet","File","English, Tamil, Telugu, Sanskrit, Kannada","Latin, Devanagari, Tamil, Telugu, Kannada","1940","Access is for research purposes only.","https://images.eap.bl.uk/EAP468/EAP468_1_2_1/1.jp2/full/!600,300/0/default.jpg"
"10","Odeon South Indian April-May 1941 catalogue and advertisements","                                                                  View images from this file (14)                                    ","EAP468/1/2/2","14 Tiff images","Pamphlet","File","English, Tamil, Telugu, Sanskrit, Kannada","Latin, Devanagari, Tamil, Telugu, Kannada","1941","Access is for research purposes only.","https://images.eap.bl.uk/EAP468/EAP468_1_2_2/1.jp2/full/!600,300/0/default.jpg"
"11","Odeon Marathi September 1934 catalogueOdeon Marathi September 1934 catalogue","        Includes photographers of performers.                                                          View images from this file (26)                                    ","EAP468/1/3/1","26 Tiff images","Pamphlet","File","English, Tamil, Telugu, Sanskrit, Gujarati, Bengali, Hindi, Marathi","Latin, Devanagari, Tamil, Telugu, Kannada","1934","Access is for research purposes only.","https://images.eap.bl.uk/EAP468/EAP468_1_3_1/1.jp2/full/!600,300/0/default.jpg"
"12","Odeon Marathi October 1934 catalogueOdeon Marathi October 1934 catalogue","        Includes photographers of performers.                                                          View images from this file (28)                                    ","EAP468/1/3/2","28 Tiff images","Pamphlet","File","English, Tamil, Telugu, Sanskrit, Gujarati, Bengali, Hindi, Marathi","Latin, Devanagari, Tamil, Telugu, Kannada","1934","Access is for research purposes only.","https://images.eap.bl.uk/EAP468/EAP468_1_3_2/1.jp2/full/!600,300/0/default.jpg"
"13","Odeon Marathi July 1935 catalogueOdeon Marathi July 1935 catalogue","        Includes photographers of performers.                                                          View images from this file (24)                                    ","EAP468/1/3/3","24 Tiff images","Pamphlet","File","English, Tamil, Telugu, Sanskrit, Gujarati, Bengali, Hindi, Marathi","Latin, Devanagari, Tamil, Telugu, Kannada","1935","Access is for research purposes only.","https://images.eap.bl.uk/EAP468/EAP468_1_3_3/1.jp2/full/!600,300/0/default.jpg"
