"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"1","Zheng qi xiong xing [20th century]","

        A book on predicting mis-fortunes. Extent of original material: 1 volume containing 144 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (74)
            
          
              ","EAP460/1/1","74 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","20th century","Access is for research purposes only."
"2","Jin mu shui huo tu [19th century]","

        A general almanac. Extent of original material: 1 volume containing 54 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (55)
            
          
              ","EAP460/1/2","55 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"3","Jia si ding han ren xu gui [19th century]","

        A general almanac. Extent of original material: 1 volume containing 16 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (17)
            
          
              ","EAP460/1/3","17 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"4","Unnamed [19th century]","

        Unknown content. Extent of original material: 1 volume containing 32 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (17)
            
          
              ","EAP460/1/4","17 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","19th century","Access is for research purposes only."
"5","Chu xue (?) [20th century]","

        An introduction for pupil priests. Extent of original material: 1 volume containing 14 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (8)
            
          
              ","EAP460/1/5","8 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","20th century","Access is for research purposes only."
"6","Unnamed [20th century]","

        Unknown content. Extent of original material: 1 volume containing 14 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (8)
            
          
              ","EAP460/1/6","8 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","20th century","Access is for research purposes only."
"7","Unnamed [20th century]","

        Unknown content. Extent of original material: 1 volume containing 20 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (11)
            
          
              ","EAP460/1/7","11 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","20th century","Access is for research purposes only."
"8","Unnamed [20th century]","

        Unknown content. Extent of original material: 1 volume containing 30 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (16)
            
          
              ","EAP460/1/8","16 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","20th century","Access is for research purposes only."
"9","Unnamed [20th century]","

        Unknown content. Extent of original material: 1 volume containing 16 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (9)
            
          
              ","EAP460/1/9","9 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","20th century","Access is for research purposes only."
"10","Unnamed [20th century]","

        Unknown content. Extent of original material: 1 volume containing 21 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (11)
            
          
              ","EAP460/1/10","11 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","20th century","Access is for research purposes only."
"11","Xiaowa guansha quanben jielu [Early 20th century ]","

        A book on how to protect children from various harms. Extent of original material: 1 volume containing 33 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (17)
            
          
              ","EAP460/2/1","16 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","Early 20th century","Access is for research purposes only."
"12","Zeji jinyao [1968]","

        A book on how to pick auspicious dates. Extent of original material: 1 volume containing 32 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (32)
            
          
              ","EAP460/3/1","32 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","1968","Access is for research purposes only."
"13","Jiehun Jiaqu yi yong [1981-1983]","

        A book on select proper dates for weddings. Extent of original material: 1 volume containing 25 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (25)
            
          
              ","EAP460/4/1","25 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","1981-1983","Access is for research purposes only."
"14","Dingshi ji xiong zhaiyao [1981-1983]","

        A book on deducing advantages and disadvantages of different occasions. Extent of original material: 1 volume containing 28 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (28)
            
          
              ","EAP460/4/2","28 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","1981-1983","Access is for research purposes only."
"15","Tan wei shen nian yi tan [1981-1983]","

        A general almanac. Extent of original material: 1 volume containing 27 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (27)
            
          
              ","EAP460/4/3","27 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","1981-1983","Access is for research purposes only."
"16","Dang da wang [1981-1983]","

        A book on calculating the most auspicious occasions. Extent of original material: 1 volume containing 22 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (22)
            
          
              ","EAP460/4/4","22 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","1981-1983","Access is for research purposes only."
"17","Ci ben tui guai [1981-1983]","

        A book on deducing the most curious occasions. Extent of original material: 1 volume containing 16 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (9)
            
          
              ","EAP460/4/5","8 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","1981-1983","Access is for research purposes only."
"18","Zi wu mao you nian chou fang [1981-1983]","

        A general almanac. Extent of original material: 1 volume containing 34 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (34)
            
          
              ","EAP460/4/6","34 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","1981-1983","Access is for research purposes only."
"19","Di shier shang tan [1981-1983]","

        A general almanac. Extent of original material: 1 volume containing 21 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (21)
            
          
              ","EAP460/4/7","21 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","1981-1983","Access is for research purposes only."
"20","kai hai zi xu shan ji wu chen chou [1981-1983]","

        A general almanac. Extent of original material: 1 volume containing 23 pages. Physical condition of original material: Manuscript written in ink, on cotton paper and bound.

                  
            
              
              View images from this file (23)
            
          
              ","EAP460/4/8","23 digital images in TIFF format","Manuscript","File","Sui","Shuishu, Sui","1981-1983","Access is for research purposes only."
