"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"1","Qi fu lu jing [20th century]","

        Sutra on requesting for fortune. Creator: unknown.

                  
            
              
              View images from this file (98)
            
          
              ","EAP217/1/1","98 TIFF images","Manuscript","File","Nuosu","Yi","20th century","Access is for research purposes only."
"2","Qi fu lu jing [Early 20th century]","

        Sutra on requesting for fortune. Creator: unknown.

                  
            
              
              View images from this file (28)
            
          
              ","EAP217/1/2","28 TIFF images","Manuscript","File","Nuosu","Yi","Early 20th century","Access is for research purposes only."
"3","Bi mo jing [Late 19th century]","

        Sutra used by local priest Bimo. Creator: unknown.

                  
            
              
              View images from this file (90)
            
          
              ","EAP217/1/3","90 TIFF images","Manuscript","File","Nuosu","Yi","Late 19th century","Access is for research purposes only."
"4","Bi mo jing [19th century]","

        Sutra used by local priest Bimo. Creator: unknown.

                  
            
              
              View images from this file (55)
            
          
              ","EAP217/1/4","55 TIFF images","Manuscript","File","Nuosu","Yi","19th century","Access is for research purposes only."
"5","Zhan bu yu ce shu [19th century]","

        Sutra on predicting one's future. Creator: unknown.

                  
            
              
              View images from this file (67)
            
          
              ","EAP217/1/5","67 TIFF images","Manuscript","File","Nuosu","Yi","19th century","Access is for research purposes only."
"6","Jie jing jing [19th century]","

        Sutra on cleaning and preparing for ceremony. Creator: unknown.

                  
            
              
              View images from this file (87)
            
          
              ","EAP217/1/6","87 TIFF images","Manuscript","File","Nuosu","Yi","19th century","Access is for research purposes only."
"7","Sang zang jing [19th century]","

        Sutra used in funeral. Creator: unknown.

                  
            
              
              View images from this file (96)
            
          
              ","EAP217/1/7","96 TIFF images","Manuscript","File","Nuosu","Yi","19th century","Access is for research purposes only."
"8","Qu gui qi fu jing [before Early 19th century]","

        Sutra on expelling evils and begging fortunes. Creator: unknown.

                  
            
              
              View images from this file (143)
            
          
              ","EAP217/1/8","143 TIFF images","Manuscript","File","Nuosu","Yi","Late 18th century-Early 19th century","Access is for research purposes only."
"9","Ze ri ze fang xiang shu [19th century]","

        Sutra used to pick an auspicious date and direction for ceremony. Creator: unknown.

                  
            
              
              View images from this file (84)
            
          
              ","EAP217/1/9","84 TIFF images","Manuscript","File","Nuosu","Yi","19th century","Access is for research purposes only."
"10","Yu zhan shu [19th century]","

        Sutra on predicting one's future. Creator: unknown.

                  
            
              
              View images from this file (51)
            
          
              ","EAP217/1/10","52 TIFF images","Manuscript","File","Nuosu","Yi","19th century","Access is for research purposes only."
"11","Bi mo jing [19th century]","

        Sutra used by local priest Bimo. Creator: unknown.

                  
            
              
              View images from this file (61)
            
          
              ","EAP217/1/11","61 TIFF images","Manuscript","File","Nuosu","Yi","19th century","Access is for research purposes only."
"12","Yu zhan ze ri shu [Early 20th century]","

        Sutra used to pick an auspicious date. Creator: unknown.

                  
            
              
              View images from this file (45)
            
          
              ","EAP217/1/12","45 TIFF images","Manuscript","File","Nuosu","Yi","Early 20th century","Access is for research purposes only."
"13","Zhi lu jing [Early 20th century]","

        Sutra used to guide the soul of the dead to return to their homeland. Creator: unknown.

                  
            
              
              View images from this file (31)
            
          
              ","EAP217/1/13","31 TIFF images","Manuscript","File","Nuosu","Yi","Early 20th century","Access is for research purposes only."
"14","Jie jing jing [20th century]","

        Sutra on cleaning and preparing for ceremony. Creator: unknown.

                  
            
              
              View images from this file (103)
            
          
              ","EAP217/1/14","103 TIFF images","Manuscript","File","Nuosu","Yi","20th century","Access is for research purposes only."
"15","Li suan ze ri shu [20th century]","

        Almanac. Creator: unknown.

                  
            
              
              View images from this file (112)
            
          
              ","EAP217/1/15","112 TIFF images","Manuscript","File","Nuosu","Yi","20th century","Access is for research purposes only."
"16","Qi fu lu jing [20th century]","

        Sutra on requesting for fortune. Creator: unknown.

                  
            
              
              View images from this file (125)
            
          
              ","EAP217/1/16","125 TIFF images","Manuscript","File","Nuosu","Yi","20th century","Access is for research purposes only."
"17","Bi mo jing [20th century]","

        Sutra used by local priest Bimo. Creator: unknown.

                  
            
              
              View images from this file (104)
            
          
              ","EAP217/1/17","104 TIFF images","Manuscript","File","Nuosu","Yi","20th century","Access is for research purposes only."
"18","Xian fu shui xian sheng jing [19th century]","

        Sutra on offering sacrifices to ancestors in ceremony. Creator: unknown.

                  
            
              
              View images from this file (91)
            
          
              ","EAP217/1/18","91 TIFF images","Manuscript","File","Nuosu","Yi","19th century","Access is for research purposes only."
"19","Chu sui qi fu jing [20th century]","

        Sutra on expelling evils and begging fortunes. Creator: unknown.

                  
            
              
              View images from this file (47)
            
          
              ","EAP217/1/19","47 TIFF images","Manuscript","File","Nuosu","Yi","20th century","Access is for research purposes only."
