"","Image URL","Image Name"
"62","https://images.eap.bl.uk/EAP460/EAP460_1_1/61.jp2/info.json","EAP460_1_1/61"
"63","https://images.eap.bl.uk/EAP460/EAP460_1_1/62.jp2/info.json","EAP460_1_1/62"
"64","https://images.eap.bl.uk/EAP460/EAP460_1_1/63.jp2/info.json","EAP460_1_1/63"
"65","https://images.eap.bl.uk/EAP460/EAP460_1_1/64.jp2/info.json","EAP460_1_1/64"
"66","https://images.eap.bl.uk/EAP460/EAP460_1_1/65.jp2/info.json","EAP460_1_1/65"
"67","https://images.eap.bl.uk/EAP460/EAP460_1_1/66.jp2/info.json","EAP460_1_1/66"
"68","https://images.eap.bl.uk/EAP460/EAP460_1_1/67.jp2/info.json","EAP460_1_1/67"
"69","https://images.eap.bl.uk/EAP460/EAP460_1_1/68.jp2/info.json","EAP460_1_1/68"
"70","https://images.eap.bl.uk/EAP460/EAP460_1_1/69.jp2/info.json","EAP460_1_1/69"
"71","https://images.eap.bl.uk/EAP460/EAP460_1_1/70.jp2/info.json","EAP460_1_1/70"
"72","https://images.eap.bl.uk/EAP460/EAP460_1_1/71.jp2/info.json","EAP460_1_1/71"
"73","https://images.eap.bl.uk/EAP460/EAP460_1_1/72.jp2/info.json","EAP460_1_1/72"
"74","https://images.eap.bl.uk/EAP460/EAP460_1_1/73.jp2/info.json","EAP460_1_1/73"
"75","https://images.eap.bl.uk/EAP460/EAP460_1_2/0.jp2/info.json","EAP460_1_2/0"
"76","https://images.eap.bl.uk/EAP460/EAP460_1_2/1.jp2/info.json","EAP460_1_2/1"
"77","https://images.eap.bl.uk/EAP460/EAP460_1_2/2.jp2/info.json","EAP460_1_2/2"
"78","https://images.eap.bl.uk/EAP460/EAP460_1_2/3.jp2/info.json","EAP460_1_2/3"
"79","https://images.eap.bl.uk/EAP460/EAP460_1_2/4.jp2/info.json","EAP460_1_2/4"
"80","https://images.eap.bl.uk/EAP460/EAP460_1_2/5.jp2/info.json","EAP460_1_2/5"
"81","https://images.eap.bl.uk/EAP460/EAP460_1_2/6.jp2/info.json","EAP460_1_2/6"
