"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"4382","Anna [5 Sep 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/296","4 TIFF images","Periodical","File","Tamil","Tamil","05 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_296/1.jp2/full/!600,300/0/default.jpg"
"4383","Anna [6 Sep 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/297","4 TIFF images","Periodical","File","Tamil","Tamil","06 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_297/1.jp2/full/!600,300/0/default.jpg"
"4384","Anna [7 Sep 1985]","

        

                  
            
              
              View images from this file (6)
            
          
              ","EAP372/6/23/9/298","6 TIFF images","Periodical","File","Tamil","Tamil","07 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_298/1.jp2/full/!600,300/0/default.jpg"
"4385","Anna [8 Sep 1985]","

        

                  
            
              
              View images from this file (6)
            
          
              ","EAP372/6/23/9/299","6 TIFF images","Periodical","File","Tamil","Tamil","08 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_299/1.jp2/full/!600,300/0/default.jpg"
"4386","Anna [9 Sep 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/300","4 TIFF images","Periodical","File","Tamil","Tamil","09 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_300/1.jp2/full/!600,300/0/default.jpg"
"4387","Anna [10 Sep 1985]","

        

                  
            
              
              View images from this file (8)
            
          
              ","EAP372/6/23/9/301","8 TIFF images","Periodical","File","Tamil","Tamil","10 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_301/1.jp2/full/!600,300/0/default.jpg"
"4388","Anna [11 Sep 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/302","4 TIFF images","Periodical","File","Tamil","Tamil","11 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_302/1.jp2/full/!600,300/0/default.jpg"
"4389","Anna [12 Sep 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/303","4 TIFF images","Periodical","File","Tamil","Tamil","12 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_303/1.jp2/full/!600,300/0/default.jpg"
"4390","Anna [13 Sep 1985]","

        

                  
            
              
              View images from this file (8)
            
          
              ","EAP372/6/23/9/304","8 TIFF images","Periodical","File","Tamil","Tamil","13 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_304/1.jp2/full/!600,300/0/default.jpg"
"4391","Anna [14 Sep 1985]","

        

                  
            
              
              View images from this file (20)
            
          
              ","EAP372/6/23/9/305","20 TIFF images","Periodical","File","Tamil","Tamil","14 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_305/1.jp2/full/!600,300/0/default.jpg"
