"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","Father Jacques Batayron obituary notes [16 Aug 1898]","        Father Jacques Batayron (1838-1898) addressed this note of self-description, containing necessary elements to compose his obituary notice. A printed obituary notice in English is inserted at the end, image: 19. Extent, format and physcial characteristics of original material: One volume of 282 folios. 21x33 cm size paged hardbound manuscript. Damaged. Author: Batayron.                                                          View images from this file (20)                                    ","EAP700/1/1/1","20 TIFF images","Manuscript","File","French","Latin","16 Aug 1898","Access is for research purposes only.","https://images.eap.bl.uk/EAP700/EAP700_1_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Codex Historicus [1893-1901]","        Historical relations. Events related to the Episcopate of Jaffna, Ceylan and various activities of the members of the mission. Table of contents, images: 265-274. Extent, format and physcial characteristics of original material: One volume of 392 folios. 21x33 cm size paged bound manuscript. Author: Joulain.                                                          View images from this file (282)                                    ","EAP700/1/1/2","282 TIFF images","Manuscript","File","French","Latin","1893-1901","Access is for research purposes only.","https://images.eap.bl.uk/EAP700/EAP700_1_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","Codex Historicus [1915]","        Historical relations. Events related to various activities of the members of the mission. Index Rerum, images: 375-386. Extent, format and physcial characteristics of original material: One volume of 284 folios. 21x33 cm size paged bound manuscript. Author: Joulain.                                                          View images from this file (392)                                    ","EAP700/1/1/3","392 Tiff images","Manuscript","File","French","Latin","1915","Access is for research purposes only.","https://images.eap.bl.uk/EAP700/EAP700_1_1_3/1.jp2/full/!600,300/0/default.jpg"
"4","Codex Historicus [1917-1918]","        Historical relations. Events related to various activities of the members of the mission. Index Rerum, images: 269-269. Extent, format and physcial characteristics of original material: One volume of 214 folios. 15x20 cm (A5 size) unpaged hard bound manuscript. Author: Joulain.                                                          View images from this file (284)                                    ","EAP700/1/1/4","284 Tiff images","Manuscript","File","French","Latin","1917-1918","Access is for research purposes only.","https://images.eap.bl.uk/EAP700/EAP700_1_1_4/1.jp2/full/!600,300/0/default.jpg"
"5","Codex Historicus Sancti Caroli of Jaffna [1902-1918]","        Historical relations. Codex Historicus Sancti Caroli of Jaffna. Summary of activities of the missions and festivals, rules and regulations to be followed. Extent, format and physcial characteristics of original material: One volume of 251 folios. 21x33 cm size paged hardbound manuscript.                                                          View images from this file (214)                                    ","EAP700/1/1/5","213 Tiff images","Manuscript","File","French","Latin","1902-1918","Access is for research purposes only.","https://images.eap.bl.uk/EAP700/EAP700_1_1_5/1.jp2/full/!600,300/0/default.jpg"
"6","The Jaffna Diocese and the OMI - Pontificate of Mgr Semeria - 4th copy / Vol 2 [1860-1865]","        Memoirs. Historical relations. 4th copy / Vol 2. The Jaffna Diocese and the OMI - Pontificate of Mgr Semeria. Table of contents, images: 245-246. Extent, format and physcial characteristics of original material: One volume of 335 folios. 21x33 cm size paged hardbound manuscript. Author: Batayron.                                                          View images from this file (250)                                    ","EAP700/1/1/6","250 Tiff images","Manuscript","File","French","Latin","1860-1865","Access is for research purposes only.","https://images.eap.bl.uk/EAP700/EAP700_1_1_6/1.jp2/full/!600,300/0/default.jpg"
"7","The Jaffna Diocese and the OMI - Pontificate of Mgr Semeria. 4th copy / Vol 3. 2nd part (continuation) [1864-1873]","        Memoirs. The Jaffna Diocese and the OMI - Pontificate of Mgr Semeria. 4th copy / Vol 3. 2nd part (continuation). First chapter (continuation). Table of contents, images: 329-330. Extent, format and physcial characteristics of original material: One volume of 337 folios. 21x33 cm size paged hardbound manuscript. Author: Batayron.                                                          View images from this file (334)                                    ","EAP700/1/1/7","334 Tiff images","Manuscript","File","French","Latin","1864-1873","Access is for research purposes only.","https://images.eap.bl.uk/EAP700/EAP700_1_1_7/1.jp2/full/!600,300/0/default.jpg"
"8","The Jaffna Diocese and the OMI - Pontificate of Mgr Bonjean. 4th copy / Vol 3. 3rd part (Continuation) [1874-1883]","        Memoirs. The Jaffna Diocese and the OMI - Pontificate of Mgr Bonjean. 4th copy / Vol 3. 3rd part (Continuation). Table of contents, images: 327-330. Extent, format and physcial characteristics of original material: One volume of 313 folios. 21x33 cm size paged hardbound manuscript. Author: Batayron.                                                          View images from this file (336)                                    ","EAP700/1/1/8","336 Tiff images","Manuscript","File","French","Latin","1874-1883","Access is for research purposes only.","https://images.eap.bl.uk/EAP700/EAP700_1_1_8/1.jp2/full/!600,300/0/default.jpg"
"9","The Jaffna Diocese and the OMI - Pontificate of Mgr Melizan. 4th copy / Vol 5. 4th part [1883-1893]","        Memoirs. The Jaffna Diocese and the OMI - Pontificate of Mgr Melizan. 4th copy / Vol 5. 4th part. Table of contents (for the 5 Vols), images: 293 -306. Extent, format and physcial characteristics of original material: One volume of 338 folios. 21x33 cm size paged hardbound manuscript. Author: Batayron.                                                          View images from this file (312)                                    ","EAP700/1/1/9","312 Tiff images","Manuscript","File","French","Latin","1883-1893","Access is for research purposes only.","https://images.eap.bl.uk/EAP700/EAP700_1_1_9/1.jp2/full/!600,300/0/default.jpg"
"10","The Jaffna Diocese and the OMI - Pontificate of Mgr Bonjean. 3rd part / Vol 2 [1877-1883]","        Memoirs. The Jaffna Diocese and the OMI - Pontificate of Mgr Bonjean. 3rd part / Vol 2. Table of contents, images: 331-333. Extent, format and physcial characteristics of original material: One volume of 288 folios. 21x33 cm size paged hardbound manuscript. Author: Bonjean. Scribe: Batayron.                                                          View images from this file (338)                                    ","EAP700/1/1/10","338 Tiff images","Manuscript","File","French","Latin","1877-1883","Access is for research purposes only.","https://images.eap.bl.uk/EAP700/EAP700_1_1_10/1.jp2/full/!600,300/0/default.jpg"
