"","Page Title","Description","Reference","Extent","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"906","Prabaladhāva","

        Literature. 1 Printed Book. Original reference number: K76.

                  
            
              
              View images from this file (130)
            
          
              ","EAP673/2/26","130 TIFF images","File","Kannada","Kannada","1904","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_26/1.jp2/full/!600,300/0/default.jpg"
"907","Padyakāvyaṁ Śēṣarāmāyaṇaṁ","

        Literature. 1 Printed Book. Original reference number: K77.

                  
            
              
              View images from this file (308)
            
          
              ","EAP673/2/27","308 TIFF images","File","Kannada","Kannada","1901","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_27/1.jp2/full/!600,300/0/default.jpg"
"908","Karnāṭaka Kāvyaman̄Jari Karṇāṭaka Pan̄Catantraṁ","

        Literature. 1 Printed Book. Original reference number: K78.

                  
            
              
              View images from this file (330)
            
          
              ","EAP673/2/28","330 TIFF images","File","Kannada","Kannada","1898","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_28/1.jp2/full/!600,300/0/default.jpg"
"909","Uttara Rāmāyaṇaṁ (Bhāmini ṣaṭpadi)","

        Literature. 1 Printed Book. Original reference number: K79.

                  
            
              
              View images from this file (224)
            
          
              ","EAP673/2/29","224 TIFF images","File","Kannada","Kannada","1910","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_29/1.jp2/full/!600,300/0/default.jpg"
"910","Jīvandhara Carite (Bhāmini ṣaṭpadi)","

        Literature. 1 Printed Book. Original reference number: K80.

                  
            
              
              View images from this file (216)
            
          
              ","EAP673/2/30","216 TIFF images","File","Kannada","Kannada","1908","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_30/1.jp2/full/!600,300/0/default.jpg"
"911","Uttara Rāma Carita Kate Emba Uttararāma Carita Nāṭakada Kannaḍa Gadyānuvāda (Dvitīya Mudraṇa)","

        Literature. 1 Printed Book. Original reference number: K81.

                  
            
              
              View images from this file (138)
            
          
              ","EAP673/2/31","138 TIFF images","File","Kannada","Kannada","1924","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_31/1.jp2/full/!600,300/0/default.jpg"
"912","Vāsudēva Yatīndra Prōktamappa Vēdānta Vivēkasāra (Advaita Matavicāra)","

        Literature. 1 Printed Book. Original reference number: K82.

                  
            
              
              View images from this file (180)
            
          
              ","EAP673/2/32","180 TIFF images","File","Kannada","Kannada","1908","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_32/1.jp2/full/!600,300/0/default.jpg"
"913","Līlāvati Prabhandaṁ","

        Literature. 1 Printed Book. Original reference number: K83.

                  
            
              
              View images from this file (184)
            
          
              ","EAP673/2/33","184 TIFF images","File","Kannada","Kannada","1898","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_33/1.jp2/full/!600,300/0/default.jpg"
"914","Pampa Śatakaṁ","

        Literature. 1 Printed Book. Original reference number: K87.

                  
            
              
              View images from this file (32)
            
          
              ","EAP673/2/34","32 TIFF images","File","Kannada","Kannada","1899","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_34/1.jp2/full/!600,300/0/default.jpg"
"915","Karnāṭaka San̄Jīvanaṁ","

        Literature. 1 Printed Book. Original reference number: K89.

                  
            
              
              View images from this file (24)
            
          
              ","EAP673/2/35","24 TIFF images","File","Kannada","Kannada","1896","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_35/1.jp2/full/!600,300/0/default.jpg"
