"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"1","Yujing sanshi ke","

        A manuscript used in ceremony to invite various spirits.

                  
            
              
              View images from this file (132)
            
          
              ","EAP550/1/1","132 digital images in TIFF format","Manuscript","File","Chinese","Chinese","18th century-20th century","Access is for research purposes only"
"2","Tianshi ke [1887]","

        A manuscript used in ceremony to invite various spirits.

                  
            
              
              View images from this file (48)
            
          
              ","EAP550/1/2","48 digital images in TIFF format","Manuscript","File","Chinese","Chinese","1887","Access is for research purposes only"
"3","Xielei shang ke [1819]","

        A manuscript used in ceremony to invite various spirits.

                  
            
              
              View images from this file (65)
            
          
              ","EAP550/1/3","65 digital images in TIFF format","Manuscript","File","Chinese","Chinese","1819","Access is for research purposes only"
"4","""Yuhuang jingji sanshi ke [Unknown, probably in the late 19th century]""","

        A manuscript used in ceremony to invite various spirits.

                  
            
              
              View images from this file (44)
            
          
              ","EAP550/1/4","44 digital images in TIFF format","Manuscript","File","Chinese","Chinese","Late 19th century","Access is for research purposes only"
"5","""Dongyue sanshi ke [Unknown, probably in the late 19th century]""","

        A manuscript used in ceremony to invite various spirits.

                  
            
              
              View images from this file (60)
            
          
              ","EAP550/1/5","60 digial images in TIFF format","Manuscript","File","Chinese","Chinese","Late 19th century","Access is for research purposes only"
"6","""Honglou pingju [Unknown, probably in the late 19th century]""","

        the Yao-edition of the famous novel THE RED CHAMBER.

                  
            
              
              View images from this file (126)
            
          
              ","EAP550/1/6","126 digital images in TIFF format","Manuscript","File","Chinese","Chinese","Late 19th century","Access is for research purposes only"
"7","duilian shuxin ji [Probably early 20th century]","

        A companion of words and patterns used in hanging scrolls, letters and others.

                  
            
              
              View images from this file (13)
            
          
              ","EAP550/1/7","13 digital images in TIFF format","Manuscript","File","Chinese","Chinese","Early 20th century","Access is for research purposes only"
"8","""Yiben riwu ke [1921, 1946, 1948]""","

        A sutra on calculating and predicting fortune or misfortune dates and moments.

                  
            
              
              View images from this file (102)
            
          
              ","EAP550/1/8","102 digital images in TIFF format","Manuscript","File","Chinese","Chinese","1921-1948","Access is for research purposes only"
"9","Kaishan ke [Unknown]","

        A manuscript used in ceremony to invite various spirits.

                  
            
              
              View images from this file (130)
            
          
              ","EAP550/1/9","130 digital images in TIFF format","Manuscript","File","Chinese","Chinese","18th century-20th century","Access is for research purposes only"
"10","Huang Jiangnv gushi [Unknown]","

        a story about the lady Huang Jiangnv.

                  
            
              
              View images from this file (106)
            
          
              ","EAP550/1/10","106 digital images in TIFF format","Manuscript","File","Chinese","Chinese","18th century-20th century","Access is for research purposes only"
"11","Hehun shu [late 19th century]","

        A sutra on calculating auspicious dates for weddings.

                  
            
              
              View images from this file (63)
            
          
              ","EAP550/1/11","63 digital images in TIFF format","Manuscript","File","Chinese","Chinese","Late 19th century","Access is for research purposes only"
"12","Zhanbu jishu [1948]","

        A manuscript on selecting auspicious dates for various purposes.

                  
            
              
              View images from this file (26)
            
          
              ","EAP550/1/12","26 digital images in TIFF format","Manuscript","File","Chinese","Chinese","1948","Access is for research purposes only"
"13","Hongen jingshu ke [1947]","

        A sutra used in ceremony.

                  
            
              
              View images from this file (20)
            
          
              ","EAP550/1/13","20 digital images in TIFF format","Manuscript","File","Chinese","Chinese","1947","Access is for research purposes only"
"14","Zazi [1940]","

        A textbook to teach Chinese language and characters.

                  
            
              
              View images from this file (26)
            
          
              ","EAP550/1/14","26 digital images in TIFF format","Manuscript","File","Chinese","Chinese","1940","Access is for research purposes only"
"15","Shoushui cunshen qishenqun wutai fa [1902(?)]","

        A sutra used in the ceremony of adopting young men into priesthood.

                  
            
              
              View images from this file (18)
            
          
              ","EAP550/1/15","18 digital images in TIFF format","Manuscript","File","Chinese","Chinese","1902?","Access is for research purposes only"
"16","Dongyue ke [Unknown]","

        A manuscript used in ceremony to invite various spirits.

                  
            
              
              View images from this file (52)
            
          
              ","EAP550/1/16","52 digital images in TIFF format","Manuscript","File","Chinese","Chinese","18th century-20th century","Access is for research purposes only"
"17","Zhanyong zhouyu [Unknown]","

        A collection of incantations used in ritual occasions.

                  
            
              
              View images from this file (30)
            
          
              ","EAP550/1/17","30 digital images in TIFF format","Manuscript","File","Chinese","Chinese","18th century-20th century","Access is for research purposes only"
"18","Zhan fa [1781]","

        A collection of seventy-two divination methods.

                  
            
              
              View images from this file (62)
            
          
              ","EAP550/1/18","62 digital images in TIFF format","Manuscript","File","Chinese","Chinese","1781","Access is for research purposes only"
"19","Jiesheng daxian ke [1826]","

        A sutra used in ritual performance to invite various gods and spirits.

                  
            
              
              View images from this file (87)
            
          
              ","EAP550/1/19","87 digital images in TIFF format","Manuscript","File","Chinese","Chinese","1826","Access is for research purposes only"
"20","Yiben lefu ke [1843]","

        A sutra used in ritual performance to invite various gods and spirits.

                  
            
              
              View images from this file (48)
            
          
              ","EAP550/1/20","48 digital images in TIFF format","Manuscript","File","Chinese","Chinese","1843","Access is for research purposes only"
"21","Shenqing [1861]","

        A sutra used in ritual performance to invite various gods and spirits.

                  
            
              
              View images from this file (43)
            
          
              ","EAP550/1/21","43 digital images in TIFF format","Manuscript","File","Chinese","Chinese","1861","Access is for research purposes only"
"22","Yiben zhushen ke [early 20th century]","

        A sutra used in ritual performance to invite various gods and spirits.

                  
            
              
              View images from this file (133)
            
          
              ","EAP550/1/22","133 digital images in TIFF format","Manuscript","File","Chinese","Chinese","early 20th century","Access is for research purposes only"
"23","Yiben zhushen ke [1907]","

        A sutra used in ritual performance to invite various gods and spirits.

                  
            
              
              View images from this file (189)
            
          
              ","EAP550/1/23","189 digital images in TIFF format","Manuscript","File","Chinese","Chinese","1907","Access is for research purposes only"
"24","Yiben zhushen ke [Unknown]","

        A sutra used in ritual performance to invite various gods and spirits.

                  
            
              
              View images from this file (72)
            
          
              ","EAP550/1/24","72 digita images in TIFF format","Manuscript","File","Chinese","Chinese","18th century-20th century","Access is for research purposes only"
