"","Page Title","Description","Reference","Extent","Content Type","Level","Creation date","Legal","ImgSrc"
"51","""Box 53 A collection of images showing mountains, vegetation, plains, forests, rivers and lakes as well as part of Gobi desert [1930s-1950s]""","        A collection of images showing mountains, vegetation, plains, forests, rivers and lakes as well as part of Gobi desert.                                                          View images from this file (82)                                    ","EAP264/1/7/10","82 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_7_10/1.jp2/full/!600,300/0/default.jpg"
"52","""Box 67 A collection of images about mountains, plains, rivers, forests and Gobi desert [1930s-1950s]""","        A collection of images about mountains, plains, rivers, forests and Gobi desert.                                                          View images from this file (104)                                    ","EAP264/1/7/11","104 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_7_11/1.jp2/full/!600,300/0/default.jpg"
"53","""Box 74 A collection of images mostly about plains, rivers, and mountains in central Mongolia [1930s-1950s]""","        A collection of images mostly about plains, rivers, and mountains in central Mongolia.                                                          View images from this file (29)                                    ","EAP264/1/7/12","29 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_7_12/1.jp2/full/!600,300/0/default.jpg"
"54","""Images of couples of different ages, families, siblings, grandparents and grandchildren [1930s-1950s]""","        Images of couples of different ages, families, siblings, grandparents and grandchildren.                                                          View images from this file (160)                                    ","EAP264/1/8/1","160 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_1/1.jp2/full/!600,300/0/default.jpg"
"55","Images of noblemen and noblewomen of early 20th century [1910s-1920s]","        Images of noblemen and noblewomen of early 20th century.                                                          View images from this file (247)                                    ","EAP264/1/8/2","249 TIFF images","Photograph","File","1910s-1920s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_2/1.jp2/full/!600,300/0/default.jpg"
"56","Images of children [1930s-1950s]","        Images of children.                                                          View images from this file (50)                                    ","EAP264/1/8/3","50 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_3/1.jp2/full/!600,300/0/default.jpg"
"57","""Images of friends, teams and collectives [1930s-1950s]""","        Images of friends, teams and collectives.                                                          View images from this file (153)                                    ","EAP264/1/8/4","153 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_4/1.jp2/full/!600,300/0/default.jpg"
"58","""Images of high monks, lamas, religious figures and religious noblemen and noble women [1920s-1930s]""","        Images of high monks, lamas, religious figures and religious noblemen and noble women.                                                          View images from this file (130)                                    ","EAP264/1/8/5","131 TIFF images","Photograph","File","1920s-1930s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_5/1.jp2/full/!600,300/0/default.jpg"
"59","Images of nomad herdsmen and their lifestyles [1930s-1950s]","        Images of nomad herdsmen and their lifestyles.                                                          View images from this file (141)                                    ","EAP264/1/8/6","141 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_6/1.jp2/full/!600,300/0/default.jpg"
"60","""Images of meetings, conferences, conventions, and forums of national and local characters [1920s-1950s]""","        Images of meetings, conferences, conventions, and forums of national and local characters.                                                          View images from this file (297)                                    ","EAP264/1/8/7","297 TIFF images","Photograph","File","1920s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_7/1.jp2/full/!600,300/0/default.jpg"
"61","Portraits of women and images of women of different ages and different backgrounds [1930s-1950s]","        Portraits of women and images of women of different ages and different backgrounds.                                                          View images from this file (90)                                    ","EAP264/1/8/8","90 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_8/1.jp2/full/!600,300/0/default.jpg"
"62","Portraits of people taken in a photographic studio [1920s-1950s]","        Portraits of people taken in a photographic studio.                                                          View images from this file (301)                                    ","EAP264/1/8/9","303 TIFF images","Photograph","File","1920s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_9/1.jp2/full/!600,300/0/default.jpg"
"63","""Images of state and government heads, high ranking officials and public activists [1920s-1950s]""","        Images of state and government heads, high ranking officials and public activists.                                                          View images from this file (81)                                    ","EAP264/1/8/10","81 TIFF images","Photograph","File","1920-1959","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_10/1.jp2/full/!600,300/0/default.jpg"
"64","Images of military persons [1920s-1950s]","        Images of military persons.                                                          View images from this file (230)                                    ","EAP264/1/8/11","231 TIFF images","Photograph","File","1920s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_11/1.jp2/full/!600,300/0/default.jpg"
"65","""Images of people caught during national celebrations and of writers, artists and sculptors [1930s-1950s]""","        Images of people caught during national celebrations and of writers, artists and sculptors.                                                          View images from this file (87)                                    ","EAP264/1/8/12","87 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_12/1.jp2/full/!600,300/0/default.jpg"
"66","""Images of foreigners living, working, travelling and doing research in Mongolia [1910s-1950s]""","        Images of foreigners living, working, travelling and doing research in Mongolia.                                                          View images from this file (151)                                    ","EAP264/1/8/13","151 TIFF images","Photograph","File","1910s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_13/1.jp2/full/!600,300/0/default.jpg"
