"","Page Title","Description","Reference","Extent","Content Type","Level","Creation date","Legal","ImgSrc"
"15","""Box 138, Images of PM Choibalsan taken while in his office, at meetings and attending ceremonies [1940s-1950s]""","        Images of PM Choibalsan taken while in his office, at meetings and attending ceremonies.                                                          View images from this file (70)                                    ","EAP264/1/2/7","70 TIFF images","Photograph","File","1940s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_2_7/1.jp2/full/!600,300/0/default.jpg"
"16","""Box 142, Images of PM Choibalsan taken while in office, at meetings and ceremonies [1940s-1950s]""","        Images of PM Choibalsan taken while in office, at meetings and ceremonies.                                                          View images from this file (109)                                    ","EAP264/1/2/8","109 TIFF images","Photograph","File","1940s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_2_8/1.jp2/full/!600,300/0/default.jpg"
"17","""Box 145, Images of PM Choibalsan in his young ages [1910s-1930s]""","        Images of PM Choibalsan in his young ages.                                                          View images from this file (55)                                    ","EAP264/1/2/9","54 TIFF images","Photograph","File","1910-1939","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_2_9/1.jp2/full/!600,300/0/default.jpg"
"18","""Box 149, Images of PM Choibalsan taken on different occasions [1940s-1950s]""","        Images of PM Choibalsan taken on different occasions.                                                          View images from this file (277)                                    ","EAP264/1/2/10","278 TIFF images","Photograph","File","1940s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_2_10/1.jp2/full/!600,300/0/default.jpg"
"19","""Box 151, Images of PM Choibalsan’s funeral taken in Ulaanbaatar [1952]""","        Images of PM Choibalsan’s funeral taken in Ulaanbaatar.                                                          View images from this file (41)                                    ","EAP264/1/2/11","41 TIFF images","Photograph","File","1952","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_2_11/1.jp2/full/!600,300/0/default.jpg"
"20","Festivities - Images of October revolution anniversary celebration and of Naadam festivities taken in Ulanbaatar [1930s]","        Images of October revolution anniversary celebration and of Naadam festivities taken in Ulanbaatar.                                                          View images from this file (18)                                    ","EAP264/1/3/1","18 TIFF images","Photograph","File","1930s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_3_1/1.jp2/full/!600,300/0/default.jpg"
"21","Festivities - Celebration of the 29th anniversary of the People’s revolution in Ulaanbaatar [1948]","        Celebration of the 29th anniversary of the People’s revolution in Ulaanbaatar.                                                          View images from this file (77)                                    ","EAP264/1/3/2","77 TIFF images","Photograph","File","1948","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_3_2/1.jp2/full/!600,300/0/default.jpg"
"22","Festivities - Celebration of 1 May and October revolution anniversary in Ulaanbaatar [1940s]","        Celebration of 1 May and October revolution anniversary in Ulaanbaatar.                                                          View images from this file (76)                                    ","EAP264/1/3/3","76 TIFF images","Photograph","File","1940s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_3_3/1.jp2/full/!600,300/0/default.jpg"
"23","Festivities - Celebration of People’s revolution anniversaries and of Naadam festivities in Ulaanbaatar [1940s-1950s]","        Celebration of People’s revolution anniversaries and of Naadam festivities in Ulaanbaatar.                                                          View images from this file (198)                                    ","EAP264/1/3/4","198 TIFF images","Photograph","File","1940s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_3_4/1.jp2/full/!600,300/0/default.jpg"
"24","Festivities - Celebration of national Naadam festivities at Yarmag near Ulaanbaatar [1930s-1950s]","        Celebration of national Naadam festivities at Yarmag near Ulaanbaatar.                                                          View images from this file (73)                                    ","EAP264/1/3/5","73 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_3_5/1.jp2/full/!600,300/0/default.jpg"
"25","Foreign Relations [1910s-1950s]","        Images related to Mongolia’s foreign ties covering the periods from 1910s through 1950s; abolition of Mongolia’s autonomy in 1919, Mongolian delegation’s visit to Russia in 1912 and 1913, the signing of the Mongolian-Soviet friendship agreement in 1945, Mongolian leaders’ visit to new independent China in 1950s, Chinese government leaders’ visit to Mongoliain 1950s, Mongolia’s participation in international forums in Europe in 1950s and many others.                                                          View images from this file (98)                                    ","EAP264/1/4/1","98 TIFF images","Photograph","File","1910s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_4_1/1.jp2/full/!600,300/0/default.jpg"
"26","""Box 22 Images of Ulaanbaatar’s power plant operation, auto mechanical shop as well as metal work [1930s]""","        Images of Ulaanbaatar’s power plant operation, auto mechanical shop as well as metal work.                                                          View images from this file (97)                                    ","EAP264/1/5/1","98 TIFF images","Photograph","File","1930s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_5_1/1.jp2/full/!600,300/0/default.jpg"
"27","""Box 25 Images related to such factories operating Ulaanbaatar as skin processing, wool and shoe making, timber processing as well as hand factories [1930s-1940s]""","        Images related to such factories operating Ulaanbaatar as skin processing, wool and shoe making, timber processing as well as hand factories.                                                          View images from this file (118)                                    ","EAP264/1/5/2","118 TIFF images","Photograph","File","1930s-1940s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_5_2/1.jp2/full/!600,300/0/default.jpg"
"28","Box 28 Images related to early manufacturing activities [1930s-1940s]","        Images related to early manufacturing activities.                                                          View images from this file (142)                                    ","EAP264/1/5/3","142 TIFF images","Photograph","File","1930s-1940s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_5_3/1.jp2/full/!600,300/0/default.jpg"
"29","Box 33 Images related to trade and agricultural activities [1930s-1940s]","        Images related to trade and agricultural activities.                                                          View images from this file (71)                                    ","EAP264/1/5/4","71 TIFF images","Photograph","File","1930s-1940s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_5_4/1.jp2/full/!600,300/0/default.jpg"
"30","""Box 36 Images related to early industrial, trade, and agricultural activities [1930s-1940s]""","        Images related to early industrial, trade, and agricultural activities.                                                          View images from this file (64)                                    ","EAP264/1/5/5","65 TIFF images","Photograph","File","1930s-1940s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_5_5/1.jp2/full/!600,300/0/default.jpg"
"31","Box 38 Images related to early coal mining activities [1930s-1940s]","        Images related to early coal mining activities.                                                          View images from this file (23)                                    ","EAP264/1/5/6","18 TIFF images","Photograph","File","1930s-1940s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_5_6/1.jp2/full/!600,300/0/default.jpg"
"32","""Box 40 Images of posters related to nation’s economic, cultural and social achievements between 1930s-1950s [1930s-1950s]""","        Images of posters related to nation’s economic, cultural and social achievements between 1930s-1950s.                                                          View images from this file (67)                                    ","EAP264/1/5/7","67 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_5_7/1.jp2/full/!600,300/0/default.jpg"
