"","Page Title","Description","Reference","Extent","Content type","Level","Languages","Creation date","Legal","ImgSrc"
"20","Miscellaneous Negatives Box 18 [1959-1960]","        This file contains 1 miscellaneous photograph from Box 18 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/2/6","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_6/1.jp2/full/!600,300/0/default.jpg"
"21","Miscellaneous Negatives Box 20 [20th century]","        This file contains 1 miscellaneous photograph from Box 20 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/2/7","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_7/9.jp2/full/!600,300/0/default.jpg"
"22","Miscellaneous Negatives Box 23 [20th century]","        This file contains 1 miscellaneous photograph from Box 23 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/2/8","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_8/11.jp2/full/!600,300/0/default.jpg"
"23","Miscellaneous Negatives Box 25 [1969-1970]","        This file contains 1 miscellaneous photograph from Box 25 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/2/9","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_9/18.jp2/full/!600,300/0/default.jpg"
"24","Miscellaneous Negatives Box 27 [20th century]","        This file contains 1 miscellaneous photograph from Box 27 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/2/10","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_10/10.jp2/full/!600,300/0/default.jpg"
"25","Miscellaneous Negatives Box 29 [20th century]","        This series contains 1 miscellaneous photograph from Box 1 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/2/11","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_11/10.jp2/full/!600,300/0/default.jpg"
"26","Miscellaneous Negatives Box 30 [20th century]","        This series contains 29 miscellaneous photograph from Box 30 of the Vasen Studio Archive.                                                          View images from this file (29)                                    ","EAP737/4/2/12","29 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_12/1.jp2/full/!600,300/0/default.jpg"
"27","Miscellaneous Photo prints [20th century]","        This file contains 10 miscellaneous photo prints of the Vasen Studio Archive.                                                          View images from this file (10)                                    ","EAP737/4/2/13","10 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_13/1.jp2/full/!600,300/0/default.jpg"
"28","Events Negatives Box 1 [1958-1989]","        This file contain 141 event photographs from box 1 of the Vasen Studio archive.                                                          View images from this file (141)                                    ","EAP737/4/3/1","141 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_3_1/10.jp2/full/!600,300/0/default.jpg"
"29","Events Negatives Box 2 [1952]","        This file contain 1 event photograph from box 2 of the Vasen Studio archive.                                                          View images from this file (1)                                    ","EAP737/4/3/2","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_3_2/7.jp2/full/!600,300/0/default.jpg"
"30","Events Negatives Box 3 [1952-1967]","        This file contain 3 event photographs from box 3 of the Vasen Studio archive.                                                          View images from this file (3)                                    ","EAP737/4/3/3","3 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_3_3/2.jp2/full/!600,300/0/default.jpg"
"31","Events Negatives Box 12 [1962-1989]","        This file contains 23 event photographs from box 12 of the Vasen Studio archive.                                                          View images from this file (23)                                    ","EAP737/4/3/4","23 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_3_4/2.jp2/full/!600,300/0/default.jpg"
"32","Events Negatives Box 17 [1954-1955]","        This file contains 1 event photograph from box 17 of the Vasen Studio archive.                                                          View images from this file (1)                                    ","EAP737/4/3/5","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_3_5/8.jp2/full/!600,300/0/default.jpg"
"33","Events Negatives Box 20 [1959]","        This file contains 1 event photograph from box 20 of the Vasen Studio archive.                                                          View images from this file (1)                                    ","EAP737/4/3/6","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_3_6/12.jp2/full/!600,300/0/default.jpg"
"34","Events Negatives Box 28 [1954-1961]","        This file contains 2 event photographs from box 28 of the Vasen Studio archive.                                                          View images from this file (2)                                    ","EAP737/4/3/7","2 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_3_7/4.jp2/full/!600,300/0/default.jpg"
"35","Events Negatives Box 30 [1962]","        This file contains 3 event photograph from box 30 of the Vasen Studio archive.                                                          View images from this file (3)                                    ","EAP737/4/3/8","3 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_3_8/13.jp2/full/!600,300/0/default.jpg"
"36","Events Photo Prints [1965-1982]","        This file contains 16 event photographic prints from of the Vasen Studio archive.                                                          View images from this file (16)                                    ","EAP737/4/3/9","16 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_3_9/12.jp2/full/!600,300/0/default.jpg"
"37","Studio Portrait Negatives Box 1 [1950-2002]","        This file contains 83 studio portraits from box 1 of the Vasen Studio Archive.                                                          View images from this file (83)                                    ","EAP737/4/4/1","83 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_1/6.jp2/full/!600,300/0/default.jpg"
"38","Studio Portrait Negatives Box 2 [20th century]","        This file contains 41 studio portraits from box 2 of the Vasen studio Archive.                                                          View images from this file (41)                                    ","EAP737/4/4/2","41 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_2/1.jp2/full/!600,300/0/default.jpg"
"39","Studio Portrait Negatives Box 3 [1952-1990]","        This file contains 22 studio portraits from box 3 of the Vasen Studio Archive.                                                          View images from this file (22)                                    ","EAP737/4/4/3","22 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_3/1.jp2/full/!600,300/0/default.jpg"
"40","Studio Portrait Negatives Box 4 [1952-1960]","        This file contains 63 studio portrait from box 4 of the Vasen studio archive.                                                          View images from this file (63)                                    ","EAP737/4/4/4","63 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_4/1.jp2/full/!600,300/0/default.jpg"
"41","Studio Portrait Negatives Box 5 [1950-1960]","        This files contains 12 studio portraits from box 5 of the Vasen Studio archive.                                                          View images from this file (12)                                    ","EAP737/4/4/5","12 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_5/1.jp2/full/!600,300/0/default.jpg"
"42","Studio Portrait Negatives Box 6 [1952-1960]","        This files contains 9 studio portraits from box 6 of the Vasen Studio archive.                                                          View images from this file (9)                                    ","EAP737/4/4/6","9 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_6/1.jp2/full/!600,300/0/default.jpg"
"43","Studio Portrait Negatives Box 7 [1952-1960]","        This files contains 9 studio portraits from box 7 of the Vasen Studio archive.                                                          View images from this file (9)                                    ","EAP737/4/4/7","9 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_7/1.jp2/full/!600,300/0/default.jpg"
"44","Studio Portrait Negatives Box 8 [1952-1955]","        This files contains 13 studio portraits from box 8 of the Vasen Studio archive.                                                          View images from this file (13)                                    ","EAP737/4/4/8","13 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_8/1.jp2/full/!600,300/0/default.jpg"
"45","Studio Portrait Negatives Box 9 [1952-1960]","        This files contains 12 studio portraits from box 9 of the Vasen Studio archive.                                                          View images from this file (12)                                    ","EAP737/4/4/9","12 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_9/1.jp2/full/!600,300/0/default.jpg"
"46","Studio Portrait Negatives Box 10 [1952-1963]","        This files contains 11 studio portraits from box 10 of the Vasen Studio archive.                                                          View images from this file (11)                                    ","EAP737/4/4/10","11 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_10/1.jp2/full/!600,300/0/default.jpg"
"47","Studio Portrait Negatives Box 11 [1952-1960]","        This files contains 11 studio portraits from box 11 of the Vasen Studio archive. Date of original material: unknown.                                                          View images from this file (11)                                    ","EAP737/4/4/11","11 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_11/1.jp2/full/!600,300/0/default.jpg"
"48","Studio Portrait Negatives Box 12 [1960-1978]","        This file contains 12 Studio portraits from box 12 of the Vasen Studio archive.                                                          View images from this file (12)                                    ","EAP737/4/4/12","12 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_12/10.jp2/full/!600,300/0/default.jpg"
"49","Studio Portrait Negatives Box 13 [1952-1960]","        This file contains 16 Studio portraits from box 13 of the Vasen Studio archive.                                                          View images from this file (16)                                    ","EAP737/4/4/13","16 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_13/1.jp2/full/!600,300/0/default.jpg"
"50","Studio Portrait Negatives Box 14 [1958-1961]","        This file contains 05 Studio portraits from box 14 of the Vasen Studio archive.                                                          View images from this file (5)                                    ","EAP737/4/4/14","5 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_14/1.jp2/full/!600,300/0/default.jpg"
